1,"Piskovatskov, Jonathan",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
2,"Pryor, Jason",NYAC ,Colorado ,USA ,A17 ,
3T,"Rodney, Adam",,Metro NYC ,USA ,A16 ,A17 
3T,"Lombardo, Theodore",NYAC / FAW ,West-Rock ,USA ,A17 ,
5,"Fayez, Ayman",FSA ,Virginia ,EGY ,A17 ,
6,"Yoo, Justin",LAIFC / PENN ,Southern CA ,USA ,A17 ,
7,"Vaysberg, Nathan",NYFA ,Metro NYC ,USA ,A17 ,
8,"Israelian, Marat",FENCERS / COBRA ,New Jersey ,ISR ,A17 ,
9,"Simmons, Ariel",NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
10,"Herbst, Eliot",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
11,"Weiss, Lewis",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
12,"Chmut, Anton",NYFA ,Metro NYC ,USA ,A17 ,
13,"Kaull, James",NYAC / DCFC ,Metro NYC ,USA ,A17 ,
14,"Chao, Kevin",LAIFC ,Southern CA ,USA ,A16 ,
15,"Bratton, Benjamin",,Metro NYC ,USA ,A17 ,
16,"Smith, Dwight",,Metro NYC ,USA ,A15 ,
17,"Thompson, Soren",NYAC ,Metro NYC ,USA ,A14 ,
18,"Yergler, Jonathan",NYAC / SFFC ,Metro NYC ,USA ,A15 ,
19,"White, Sean",FENCERS ,Metro NYC ,USA ,A17 ,
20,"Mecke, Cedric",NYAC ,Metro NYC ,USA ,A16 ,
21,"Lange, Henry",NWFC ,Oregon ,USA ,A17 ,
22,"Jones, Simon",MARX FENCING / BROWNUN ,New England ,USA ,A16 ,
23,"Herbst, Isaac",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
24,"Canaux, Gabriel",COLUMBF / NYAC ,New Jersey ,USA ,A17 ,
25,"Griffiths, Ryan",NYAC ,New Jersey ,USA ,A17 ,
26,"Daroian, Emon",LAIFC ,Southern CA ,USA ,A17 ,
27,"Sherrill, Edward",NYAC ,Metro NYC ,USA ,A15 ,
28,"Tsinis, Alexander",NYAC ,Metro NYC ,USA ,A17 ,
29,"Duncan, Corwin",DCFC ,Capitol ,USA ,A17 ,
30,"Thein-Sandler, Adrien",LAIFC ,Southern CA ,USA ,A17 ,
31,"Tolkachev, Denis",,Metro NYC ,RUS ,B17 ,
32,"Guinan, Joseph",OSU VARSITY FENCING TEAM ,Illinois ,USA ,B17 ,
33,"Wieder, Benjamin",NYAC / MEDEO F.C. ,New Jersey ,USA ,B17 ,
34,"Strong, Sean",,Southern CA ,USA ,A17 ,
35,"Rafidi, Joseph",AFM ,Central CA ,USA ,A16 ,
36,"Nollner, Dylan",NYAC ,Metro NYC ,USA ,A16 ,
37,"Volkmann, Daniel",NWFC ,Oregon ,USA ,A17 ,
38,"Brewer, Andrew",TFC / LAIFC ,Southern CA ,USA ,A17 ,
39,"Temiryaev, Alan",NYFA ,Long Island ,USA ,A17 ,
40,"Maczik, Adam",MARX FENCING ,New England ,USA ,A17 ,
41,"Shindler, Oliver",OSU VARSITY FENCING TEAM / WCFA ,Illinois ,USA ,A16 ,
42,"Bradford, Jack",OSU VARSITY FENCING TEAM ,Columbus OH ,USA ,A17 ,
43,"Larsen, Samuel",NWFC ,Oregon ,USA ,A17 ,
44,"Sallembien, Nicolas",IFA - CA ,Central CA ,USA ,B17 ,
45,"French, Dylan",,,CAN ,A17 ,
46,"Frank, Timmy",NWFC ,Oregon ,USA ,A17 ,
47,"Johnson, Wesley",SF / PRNCTONU. ,Utah-S.Idaho ,USA ,A17 ,
48,"Park, Thomas Junseo",BB-FC ,Southern CA ,CAN ,A17 ,
49,"Campbell, Daniel",FSA ,Virginia ,USA ,A17 ,
50,"Moore, Shomari",,Metro NYC ,USA ,A16 ,
51,"Rayle, Evan",NWFC ,Oregon ,USA ,A17 ,
52,"House, Alex",FENCERS ,New Jersey ,USA ,A17 ,
53,"Koch, Samuel",BROWNUN / GOLD GATE ,Northern CA ,USA ,A17 ,
54,"Bissinger, Michael",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
55,"Doss, David",FENCERS / GOLD GATE ,Metro NYC ,USA ,A17 ,
56,"Hadzic, Alen",STAMFORD F.C. ,Connecticut ,USA ,A16 ,
57,"Smoak, Omari",FENCERS ,Metro NYC ,USA ,A16 ,
58,"Zhang, Joshua",NYAC ,Long Island ,USA ,A17 ,
59,"Tafoya, Devin",NORCOLO / DFC ,Colorado ,USA ,A17 ,
60,"Shepard, Trevor",SWORDS ,Southern CA ,USA ,B16 ,
61,"Hsieh Jarov, Seraphim",,,CAN ,A17 ,
62,"Hondor, Robert",OLYMPIA F. C. ,New England ,USA ,A17 ,
63,"Keller, Kai-Moritz",NYAC ,Metro NYC ,USA ,A16 ,
64,"Antekeier, Aidan",ALLIANCE F.A. / NOTREDAME ,Oregon ,USA ,A15 ,
65,"Cullen, Daniel",TWORAVENS ,Northern OH ,USA ,A17 ,
66,"Sless, Alexander",UNAT / UIW FENCING CENTER ,South TX ,USA ,A17 ,
67,"Henderson, Jason",NYAC / NJIT ,New Jersey ,USA ,A14 ,
68,"Piskovatskov, Anton",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
69,"Tepedelenlioglu, Mehmet",EBFG ,Northern CA ,USA ,A17 ,
70,"Cho, Jonah",LAIFC ,Southern CA ,USA ,A17 ,
71,"Ewart, Stephen",SWORDS / NOTREDAME ,Southern CA ,USA ,A17 ,
72,"Szapary, Tristan",FAP ,Philadelphia ,USA ,A17 ,
73,"Carpenter, Liam",MARX FENCING ,New England ,USA ,A17 ,
74,"Dinkins, Ramadan",WCFA ,Illinois ,USA ,A17 ,
75,"Zilinskiy, Eduard",TOUCHE / TEAMTOUCHE ,Central CA ,USA ,A17 ,
76,"Zacharakis, Demetri",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
77,"Lei, Joshua",NWFC ,Central CA ,USA ,C17 ,
78,"Hitchcock, David",BAY STATE / FSA ,Virginia ,USA ,A17 ,
79,"Sanders, Ian",NYU / FENCERS ,Connecticut ,USA ,A17 ,
80,"Nguyen, Ethan",BB-FC ,Nevada ,USA ,B17 ,
81,"Heidecker, Pascal",,,CAN ,B17 ,
82,"Dolgonos, Mark",NYFA ,Metro NYC ,USA ,A17 ,
83,"Bailey, Nathan",DCFC ,San Diego ,USA ,A16 ,
84,"McIntosh, Sadler",,,CAN ,C15 ,
85,"Elashry, Zeyad",FSA ,Maryland ,USA ,A17 ,
86,"Grams, Steven",NORTHSFC ,Long Island ,CAN ,A17 ,
87,"Cole, Elias",NYAC ,West-Rock ,USA ,A16 ,
88T,"Pobis, Chandler",,S. Carolina ,USA ,B17 ,
88T,"Wang, Bowen",NCFDP / RTF ,N. Carolina ,CHN ,A17 ,
90,"Schumacher, Cooper",FENCERS ,Metro NYC ,USA ,A17 ,
91,"Lichten, Keith",EBFG ,Northern CA ,USA ,A17 ,
92,"Shirey, Daniel",IMASTERS / PFA ,Georgia ,USA ,A17 ,
93,"Kisthardt, Henry",REDLANDSFCOK ,Oklahoma ,USA ,B16 ,
94,"Khayat, Ziad",EBFG / U.C.S.D. ,Central CA ,USA ,A17 ,
95,"Hesslegrave, Porter",COLUMBF / LAIFC ,Southern CA ,USA ,A16 ,
96T,"Cummings, Atticus",BOZEMAN ,Inland Emp ,USA ,B17 ,
96T,"McGinnis, Aidan",DUKEUNIVFC / NORCOLO ,Colorado ,USA ,A17 ,
96T,"Tableman, Doug",FENCERS / COBRA ,New Jersey ,USA ,A17 ,
99,"Spiteri, Gareth",NYAC ,New Jersey ,USA ,A17 ,
100,"Haddad, Justin",DCFC ,Capitol ,USA ,A17 ,
101,"Haider, Syed Safi",IMASTERS ,Georgia ,USA ,A16 ,
102T,"White, Khristopher",UNAT / FENCERS ,Metro NYC ,USA ,C16 ,
102T,"Yu, Colin",MARX FENCING ,New England ,USA ,A17 ,
104,"Bennion, Michael",SF ,Utah-S.Idaho ,USA ,B16 ,
105,"Long, Quinton",SDL ,Border TX ,USA ,B14 ,
106,"Miller, Finn",MEDEO F.C. ,New Jersey ,USA ,A17 ,
107,"Gates, Darcy",,,CAN ,A16 ,
108,"alhussain, Ahmed",COLUMBUS F&F ,,KSA ,A17 ,
109,"Arieta, Ryan",WEST BERKELEY FENCING ,Northern CA ,USA ,A15 ,
110,"Fiechtner, Thomas",CDL ,San Diego ,USA ,B17 ,
111,"Hanahan, Nicholas",UNAT / NOTREDAME ,Indiana ,USA ,A17 ,
112,"Matveev, Valentin",BB-FC ,Nevada ,USA ,A17 ,
113,"Cheian, Dinis",FENCERS / NYAC ,Metro NYC ,MDA ,A16 ,
114,"Cotter, Alexander",,Metro NYC ,USA ,B17 ,
115,"Weiss, Miles",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
116,"Suvorov, Yuly",SAS ,Western WA ,USA ,A16 ,
117,"Engel, Hans",NYU / RAIN CITY ,Metro NYC ,USA ,A14 ,
118,"Crepeaux, Alexandre",NYU / NWFC ,Metro NYC ,USA ,A17 ,
119,"Mandoki, Sandor",HLBRSDT ,Northern CA ,USA ,A16 ,
120,"Blyth, Jourdain",SDFA ,Colorado ,USA ,B17 ,
121,"Gana, Thomas",ATLANTIC F.A. ,New Jersey ,USA ,A17 ,
122,"Lee, Ryan",SWORDS ,Southern CA ,USA ,B17 ,