1,"Simmons, Ariel",A17 / 12 ,NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
2,"Thompson, Soren",A14 / 86 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,29 ,14 ,+15 ,Advanced
3,"Wieder, Benjamin",B17 / 58 ,NYAC / MEDEO F.C. ,New Jersey ,USA ,6 ,1.00 ,29 ,17 ,+12 ,Advanced
4,"Yergler, Jonathan",A15 / 20 ,NYAC / SFFC ,Metro NYC ,USA ,5 ,1.00 ,25 ,13 ,+12 ,Advanced
5,"Strong, Sean",A17 / 41 ,,Southern CA ,USA ,5 ,1.00 ,23 ,11 ,+12 ,Advanced
6,"Rodney, Adam",A16 / 4 ,,Metro NYC ,USA ,6 ,1.00 ,28 ,17 ,+11 ,Advanced
7,"Herbst, Eliot",A17 / 75 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
8,"Rafidi, Joseph",A16 / 29 ,AFM ,Central CA ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
9,"Nollner, Dylan",A16 / 33 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,25 ,12 ,+13 ,Advanced
10,"White, Sean",A17 / 43 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,29 ,17 ,+12 ,Advanced
11,"Volkmann, Daniel",A17 / 93 ,NWFC ,Oregon ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
12,"Brewer, Andrew",A17 ,TFC / LAIFC ,Southern CA ,USA ,5 ,0.83 ,27 ,16 ,+11 ,Advanced
13,"Temiryaev, Alan",A17 / 38 ,NYFA ,Long Island ,USA ,5 ,0.83 ,26 ,15 ,+11 ,Advanced
14,"Maczik, Adam",A17 / 64 ,MARX FENCING ,New England ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
15,"Mecke, Cedric",A16 / 55 ,NYAC ,Metro NYC ,USA ,5 ,0.83 ,24 ,14 ,+10 ,Advanced
16,"Shindler, Oliver",A16 / 44 ,OSU VARSITY FENCING TEAM / WCFA ,Illinois ,USA ,5 ,0.83 ,27 ,18 ,+9 ,Advanced
17T,"Weiss, Lewis",A17 / 8 ,ALLIANCE F.A. ,Gulf Coast ,USA ,5 ,0.83 ,25 ,19 ,+6 ,Advanced
17T,"Fayez, Ayman",A17 / 22 ,FSA ,Virginia ,EGY ,5 ,0.83 ,25 ,19 ,+6 ,Advanced
19,"Lange, Henry",A17 / 92 ,NWFC ,Oregon ,USA ,5 ,0.83 ,25 ,20 ,+5 ,Advanced
20,"Bradford, Jack",A17 / 85 ,OSU VARSITY FENCING TEAM ,Columbus OH ,USA ,4 ,0.80 ,23 ,10 ,+13 ,Advanced
21,"Chmut, Anton",A17 ,NYFA ,Metro NYC ,USA ,4 ,0.80 ,23 ,14 ,+9 ,Advanced
22,"Cullen, Daniel",A17 / 53 ,TWORAVENS ,Northern OH ,USA ,4 ,0.80 ,23 ,16 ,+7 ,Advanced
23,"Yoo, Justin",A17 / 21 ,LAIFC / PENN ,Southern CA ,USA ,4 ,0.67 ,26 ,15 ,+11 ,Advanced
24,"Kaull, James",A17 / 7 ,NYAC / DCFC ,Metro NYC ,USA ,4 ,0.67 ,27 ,18 ,+9 ,Advanced
25,"Pryor, Jason",A17 / 2 ,NYAC ,Colorado ,USA ,4 ,0.67 ,27 ,20 ,+7 ,Advanced
26,"Jones, Simon",A16 / 34 ,MARX FENCING / BROWNUN ,New England ,USA ,4 ,0.67 ,25 ,18 ,+7 ,Advanced
27,"Herbst, Isaac",A17 / 25 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,28 ,22 ,+6 ,Advanced
28,"Larsen, Samuel",A17 / 101 ,NWFC ,Oregon ,USA ,4 ,0.67 ,27 ,21 ,+6 ,Advanced
29,"Chao, Kevin",A16 / 75 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,28 ,23 ,+5 ,Advanced
30,"Sallembien, Nicolas",B17 ,IFA - CA ,Central CA ,USA ,4 ,0.67 ,27 ,22 ,+5 ,Advanced
31,"French, Dylan",A17 / 48 ,,,CAN ,4 ,0.67 ,26 ,21 ,+5 ,Advanced
32T,"Sless, Alexander",A17 / 71 ,UNAT / UIW FENCING CENTER ,South TX ,USA ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
32T,"Canaux, Gabriel",A17 / 17 ,COLUMBF / NYAC ,New Jersey ,USA ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
34,"Piskovatskov, Jonathan",A17 / 18 ,ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,26 ,22 ,+4 ,Advanced
35,"Griffiths, Ryan",A17 / 50 ,NYAC ,New Jersey ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
36,"Henderson, Jason",A14 / 100 ,NYAC / NJIT ,New Jersey ,USA ,4 ,0.67 ,24 ,20 ,+4 ,Advanced
37,"Daroian, Emon",A17 / 81 ,LAIFC ,Southern CA ,USA ,4 ,0.67 ,25 ,22 ,+3 ,Advanced
38,"Piskovatskov, Anton",A17 / 11 ,PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,4 ,0.67 ,23 ,20 ,+3 ,Advanced
39,"Frank, Timmy",A17 / 65 ,NWFC ,Oregon ,USA ,4 ,0.67 ,23 ,22 ,+1 ,Advanced
40,"Johnson, Wesley",A17 / 24 ,SF / PRNCTONU. ,Utah-S.Idaho ,USA ,4 ,0.67 ,23 ,23 ,0 ,Advanced
41,"Tepedelenlioglu, Mehmet",A17 / 37 ,EBFG ,Northern CA ,USA ,4 ,0.67 ,19 ,20 ,-1 ,Advanced
42,"Cho, Jonah",A17 / 82 ,LAIFC ,Southern CA ,USA ,3 ,0.60 ,20 ,15 ,+5 ,Advanced
43,"Bratton, Benjamin",A17 / 1 ,,Metro NYC ,USA ,3 ,0.60 ,21 ,17 ,+4 ,Advanced
44,"Park, Thomas Junseo",A17 ,BB-FC ,Southern CA ,CAN ,3 ,0.60 ,20 ,17 ,+3 ,Advanced
45,"Vaysberg, Nathan",A17 ,NYFA ,Metro NYC ,USA ,3 ,0.60 ,23 ,22 ,+1 ,Advanced
46,"Campbell, Daniel",A17 ,FSA ,Virginia ,USA ,3 ,0.60 ,21 ,20 ,+1 ,Advanced
47,"Moore, Shomari",A16 / 87 ,,Metro NYC ,USA ,3 ,0.60 ,21 ,21 ,0 ,Advanced
48,"Ewart, Stephen",A17 / 10 ,SWORDS / NOTREDAME ,Southern CA ,USA ,3 ,0.50 ,26 ,19 ,+7 ,Advanced
49,"Sherrill, Edward",A15 / 32 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,25 ,18 ,+7 ,Advanced
50,"Szapary, Tristan",A17 ,FAP ,Philadelphia ,USA ,3 ,0.50 ,24 ,19 ,+5 ,Advanced
51,"Israelian, Marat",A17 / 72 ,FENCERS / COBRA ,New Jersey ,ISR ,3 ,0.50 ,22 ,17 ,+5 ,Advanced
52,"Carpenter, Liam",A17 / 56 ,MARX FENCING ,New England ,USA ,3 ,0.50 ,25 ,22 ,+3 ,Advanced
53,"Tsinis, Alexander",A17 / 9 ,NYAC ,Metro NYC ,USA ,3 ,0.50 ,20 ,17 ,+3 ,Advanced
54,"Dinkins, Ramadan",A17 / 103 ,WCFA ,Illinois ,USA ,3 ,0.50 ,26 ,24 ,+2 ,Advanced
55,"Rayle, Evan",A17 / 114 ,NWFC ,Oregon ,USA ,3 ,0.50 ,24 ,23 ,+1 ,Advanced
56,"Zilinskiy, Eduard",A17 / 83 ,TOUCHE / TEAMTOUCHE ,Central CA ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
57,"Duncan, Corwin",A17 ,DCFC ,Capitol ,USA ,3 ,0.50 ,22 ,21 ,+1 ,Advanced
58,"House, Alex",A17 / 57 ,FENCERS ,New Jersey ,USA ,3 ,0.50 ,21 ,20 ,+1 ,Advanced
59,"Koch, Samuel",A17 / 19 ,BROWNUN / GOLD GATE ,Northern CA ,USA ,3 ,0.50 ,26 ,26 ,0 ,Advanced
60,"Zacharakis, Demetri",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.50 ,24 ,24 ,0 ,Advanced
61,"Bissinger, Michael",A17 / 68 ,ALLIANCE F.A. ,Gulf Coast ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
62,"Smith, Dwight",A15 / 45 ,,Metro NYC ,USA ,3 ,0.50 ,24 ,25 ,-1 ,Advanced
63,"Doss, David",A17 / 106 ,FENCERS / GOLD GATE ,Metro NYC ,USA ,3 ,0.50 ,20 ,21 ,-1 ,Advanced
64T,"Lei, Joshua",C17 ,NWFC ,Central CA ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
64T,"Hadzic, Alen",A16 ,STAMFORD F.C. ,Connecticut ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
66,"Hitchcock, David",A17 ,BAY STATE / FSA ,Virginia ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
67,"Sanders, Ian",A17 / 39 ,NYU / FENCERS ,Connecticut ,USA ,3 ,0.50 ,23 ,26 ,-3 ,Advanced
68,"Nguyen, Ethan",B17 ,BB-FC ,Nevada ,USA ,3 ,0.50 ,22 ,25 ,-3 ,Advanced
69,"Lombardo, Theodore",A17 / 27 ,NYAC / FAW ,West-Rock ,USA ,3 ,0.50 ,21 ,24 ,-3 ,Advanced
70,"Heidecker, Pascal",B17 / 118 ,,,CAN ,3 ,0.50 ,21 ,25 ,-4 ,Advanced
71,"Dolgonos, Mark",A17 ,NYFA ,Metro NYC ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
72,"Bailey, Nathan",A16 ,DCFC ,San Diego ,USA ,3 ,0.50 ,22 ,27 ,-5 ,Advanced
73,"Thein-Sandler, Adrien",A17 / 61 ,LAIFC ,Southern CA ,USA ,3 ,0.50 ,21 ,26 ,-5 ,Advanced
74,"McIntosh, Sadler",C15 ,,,CAN ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
75,"Tolkachev, Denis",B17 / 73 ,,Metro NYC ,RUS ,2 ,0.40 ,20 ,21 ,-1 ,Advanced
76,"Elashry, Zeyad",A17 / 13 ,FSA ,Maryland ,USA ,2 ,0.40 ,17 ,18 ,-1 ,Advanced
77T,"Guinan, Joseph",B17 / 70 ,OSU VARSITY FENCING TEAM ,Illinois ,USA ,2 ,0.40 ,19 ,21 ,-2 ,Advanced
77T,"Grams, Steven",A17 ,NORTHSFC ,Long Island ,CAN ,2 ,0.40 ,19 ,21 ,-2 ,Advanced
79T,"Smoak, Omari",A16 / 31 ,FENCERS ,Metro NYC ,USA ,2 ,0.40 ,19 ,23 ,-4 ,Advanced
79T,"Cole, Elias",A16 ,NYAC ,West-Rock ,USA ,2 ,0.40 ,19 ,23 ,-4 ,Advanced
81,"Zhang, Joshua",A17 ,NYAC ,Long Island ,USA ,2 ,0.40 ,18 ,22 ,-4 ,Advanced
82T,"Wang, Bowen",A17 / 88 ,NCFDP / RTF ,N. Carolina ,CHN ,2 ,0.40 ,15 ,22 ,-7 ,Advanced
82T,"Pobis, Chandler",B17 ,,S. Carolina ,USA ,2 ,0.40 ,15 ,22 ,-7 ,Advanced
84,"Schumacher, Cooper",A17 / 3 ,FENCERS ,Metro NYC ,USA ,2 ,0.33 ,25 ,24 ,+1 ,Advanced
85,"Lichten, Keith",A17 / 122 ,EBFG ,Northern CA ,USA ,2 ,0.33 ,24 ,25 ,-1 ,Advanced
86,"Shirey, Daniel",A17 ,IMASTERS / PFA ,Georgia ,USA ,2 ,0.33 ,23 ,25 ,-2 ,Advanced
87,"Tafoya, Devin",A17 / 51 ,NORCOLO / DFC ,Colorado ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
88,"Shepard, Trevor",B16 ,SWORDS ,Southern CA ,USA ,2 ,0.33 ,23 ,26 ,-3 ,Advanced
89,"Kisthardt, Henry",B16 ,REDLANDSFCOK ,Oklahoma ,USA ,2 ,0.33 ,21 ,24 ,-3 ,Advanced
90T,"Khayat, Ziad",A17 / 107 ,EBFG / U.C.S.D. ,Central CA ,USA ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
90T,"Hsieh Jarov, Seraphim",A17 / 112 ,,,CAN ,2 ,0.33 ,20 ,24 ,-4 ,Advanced
92,"Hesslegrave, Porter",A16 / 80 ,COLUMBF / LAIFC ,Southern CA ,USA ,2 ,0.33 ,19 ,23 ,-4 ,Advanced
93,"Hondor, Robert",A17 / 63 ,OLYMPIA F. C. ,New England ,USA ,2 ,0.33 ,20 ,25 ,-5 ,Advanced
94T,"Tableman, Doug",A17 ,FENCERS / COBRA ,New Jersey ,USA ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
94T,"McGinnis, Aidan",A17 ,DUKEUNIVFC / NORCOLO ,Colorado ,USA ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
94T,"Cummings, Atticus",B17 ,BOZEMAN ,Inland Emp ,USA ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
97,"Keller, Kai-Moritz",A16 ,NYAC ,Metro NYC ,USA ,2 ,0.33 ,16 ,21 ,-5 ,Advanced
98,"Spiteri, Gareth",A17 ,NYAC ,New Jersey ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
99,"Haddad, Justin",A17 ,DCFC ,Capitol ,USA ,2 ,0.33 ,20 ,26 ,-6 ,Advanced
100,"Haider, Syed Safi",A16 / 59 ,IMASTERS ,Georgia ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
101T,"White, Khristopher",C16 / 97 ,UNAT / FENCERS ,Metro NYC ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
101T,"Yu, Colin",A17 ,MARX FENCING ,New England ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
103,"Bennion, Michael",B16 ,SF ,Utah-S.Idaho ,USA ,2 ,0.33 ,17 ,24 ,-7 ,Advanced
104,"Long, Quinton",B14 ,SDL ,Border TX ,USA ,1 ,0.20 ,17 ,24 ,-7 ,Advanced
105,"Miller, Finn",A17 / 47 ,MEDEO F.C. ,New Jersey ,USA ,1 ,0.20 ,13 ,23 ,-10 ,Advanced
106T,"Antekeier, Aidan",A15 ,ALLIANCE F.A. / NOTREDAME ,Oregon ,USA ,1 ,0.17 ,21 ,27 ,-6 ,Advanced
106T,"Gates, Darcy",A16 ,,,CAN ,1 ,0.17 ,21 ,27 ,-6 ,Advanced
108,"alhussain, Ahmed",A17 ,COLUMBUS F&F ,,KSA ,1 ,0.17 ,19 ,26 ,-7 ,Advanced
109,"Arieta, Ryan",A15 / 104 ,WEST BERKELEY FENCING ,Northern CA ,USA ,1 ,0.17 ,17 ,25 ,-8 ,Advanced
110,"Fiechtner, Thomas",B17 ,CDL ,San Diego ,USA ,1 ,0.17 ,18 ,28 ,-10 ,Advanced
111,"Hanahan, Nicholas",A17 / 16 ,UNAT / NOTREDAME ,Indiana ,USA ,1 ,0.17 ,16 ,27 ,-11 ,Advanced
112,"Matveev, Valentin",A17 / 105 ,BB-FC ,Nevada ,USA ,1 ,0.17 ,17 ,29 ,-12 ,Advanced
113,"Cheian, Dinis",A16 ,FENCERS / NYAC ,Metro NYC ,MDA ,1 ,0.17 ,13 ,29 ,-16 ,Eliminated
114,"Cotter, Alexander",B17 ,,Metro NYC ,USA ,0 ,0.00 ,19 ,24 ,-5 ,Eliminated
115,"Weiss, Miles",B17 ,ALLIANCE F.A. ,Gulf Coast ,USA ,0 ,0.00 ,15 ,28 ,-13 ,Eliminated
116,"Suvorov, Yuly",A16 ,SAS ,Western WA ,USA ,0 ,0.00 ,12 ,25 ,-13 ,Eliminated
117,"Engel, Hans",A14 ,NYU / RAIN CITY ,Metro NYC ,USA ,0 ,0.00 ,16 ,30 ,-14 ,Eliminated
118,"Crepeaux, Alexandre",A17 ,NYU / NWFC ,Metro NYC ,USA ,0 ,0.00 ,15 ,29 ,-14 ,Eliminated
119,"Mandoki, Sandor",A16 ,HLBRSDT ,Northern CA ,USA ,0 ,0.00 ,14 ,30 ,-16 ,Eliminated
120,"Blyth, Jourdain",B17 ,SDFA ,Colorado ,USA ,0 ,0.00 ,12 ,28 ,-16 ,Eliminated
121,"Gana, Thomas",A17 ,ATLANTIC F.A. ,New Jersey ,USA ,0 ,0.00 ,12 ,30 ,-18 ,Eliminated
122,"Lee, Ryan",B17 ,SWORDS ,Southern CA ,USA ,0 ,0.00 ,10 ,28 ,-18 ,Eliminated