1,"KAULL, James",NYAC / DCFC ,Metro NYC ,USA ,A17 ,A18 
2,"LUGONES RUGGERI, Jesus",SWFFA ,Central FL ,ARG ,A14 ,A18 
3T,"HOYLE, Jacob",NYAC ,Metro NYC ,USA ,A17 ,A18 
3T,"FAYEZ, Ayman",FSA ,Virginia ,EGY ,A17 ,A18 
5,"RAMIREZ, Yeisser",PETERWE ,Metro NYC ,USA ,A15 ,A18 
6,"SCHUMACHER, Cooper",FENCERS ,Metro NYC ,USA ,A17 ,A18 
7,"CANAUX, Gabriel",COLUMBF / NYAC ,New Jersey ,USA ,A17 ,A18 
8,"ZAGORUIKO, Ivan",UNAT / NORTHSFC ,Metro NYC ,USA ,A16 ,A18 
9,"TSINIS, Alexander",NYAC ,Metro NYC ,USA ,A17 ,
10,"JOHNSON, Wesley",PRNCTONU. / SF ,Utah-S.Idaho ,USA ,A17 ,
11,"PRYOR, Jason",NYAC ,Colorado ,USA ,A17 ,
12,"KRAFT, Dennis",LIGONIER / DCFC ,Central PA ,USA ,A17 ,
13,"MCDOWALD, Curtis",PETERWE ,Metro NYC ,USA ,A17 ,
14,"TEMIRYAEV, Alan",NYFA ,Long Island ,USA ,A17 ,
15,"HADZIC, Alen",STAMFORD F.C. ,Connecticut ,USA ,A17 ,
16,"COLE, Joshua",PSU / DURKAN ,West-Rock ,USA ,A17 ,
17,"FRENCH, Dylan",DYNAMOFC / NOTREDAME ,Northeast ,CAN ,A17 ,
18,"SIMMONS, Ariel",NOTREDAME / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
19,"MECKE, Cedric",NYAC ,Metro NYC ,USA ,A16 ,
20,"RAYLE, Evan",NWFC ,Oregon ,USA ,A17 ,
21,"KELLER, Kai-Moritz",NYAC ,Metro NYC ,USA ,A16 ,
22,"CAMPBELL, Daniel",FSA ,Virginia ,USA ,A17 ,
23,"WHITE, Sean",FENCERS ,Metro NYC ,USA ,A17 ,
24,"HONDOR, Robert",OLYMPIA F. C. ,New England ,USA ,A17 ,
25,"JONES, Simon",MARX FENCING / BROWNUN ,New England ,USA ,A16 ,
26,"GORNOVSKY, David",,,CAN ,A17 ,
27,"RODNEY, Adam",PETERWE ,Metro NYC ,USA ,A17 ,
28,"YERGLER, Jonathan",NYAC / SFFC ,Metro NYC ,USA ,A15 ,
29,"SMITH, Dwight",PETERWE ,Metro NYC ,USA ,A15 ,
30,"SHERRILL, Edward",NYAC ,Metro NYC ,USA ,A15 ,
31,"FAFARD, Fynn",,,CAN ,A16 ,
32,"BENNION, Michael",SF ,Utah-S.Idaho ,USA ,B16 ,
33,"BRATTON, Benjamin",PETERWE ,Metro NYC ,USA ,A17 ,
34,"BISSINGER, Michael",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
35,"WEISS, Lewis",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
36T,"THEIN-SANDLER, Adrien",LAIFC ,Southern CA ,USA ,A17 ,
36T,"MILLER, Finn",MEDEO F.C. ,New Jersey ,USA ,A17 ,
38,"CANDREVA, Hunter",NYAC / OLYMPIA F. C. ,Metro NYC ,USA ,A17 ,
39,"COMES, Matthew",W.F.A. / OSU VARSITY FENCING TEAM ,Western WA ,USA ,A17 ,
40,"PISKOVATSKOV, Anton",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
41,"LOMBARDO, Theodore",NYAC / FAW ,West-Rock ,USA ,A17 ,
42,"DAROIAN, Emon",LAIFC ,Southern CA ,USA ,A17 ,
43,"VINNITCHOUK, Ted",,,CAN ,B17 ,
44,"RAYNIS, Jake",PENN / LAIFC ,Southern CA ,USA ,A17 ,
45,"NOLLNER, Dylan",NYAC ,Metro NYC ,USA ,A16 ,
46,"SHELANSKI, Isaac",UNAT / DCFC ,Capitol ,USA ,A15 ,
47,"GUINAN, Joseph",OSU VARSITY FENCING TEAM ,Illinois ,USA ,B17 ,
48,"CHO, Jonah",LAIFC ,Southern CA ,USA ,A17 ,
49,"MA, Ark",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
50,"TAFOYA, Devin",NORCOLO / DFC ,Colorado ,USA ,A17 ,
51,"GRAMS, Steven",NORTHSFC ,Long Island ,CAN ,A17 ,
52,"KOCH, Samuel",BROWNUN / GOLD GATE ,Northern CA ,USA ,A17 ,
53,"PEGRAM, Tavish",FENCERS ,Metro NYC ,USA ,A17 ,
54,"YOO, Justin",LAIFC / PENN ,Southern CA ,USA ,A17 ,
55,"PETROLL, Jared",GBFC ,North TX ,USA ,A16 ,
56,"WILSON, Sean",ALLIANCE F.A. ,Capitol ,USA ,A17 ,
57,"DE GUZMAN, Inaki",OSU VARSITY FENCING TEAM ,Virginia ,USA ,A16 ,
58,"SZAPARY, Tristan",FAP ,Philadelphia ,USA ,A17 ,
59,"HESSLEGRAVE, Porter",COLUMBF / LAIFC ,Southern CA ,USA ,A16 ,
60,"SUVOROV, Yuly",SAS ,Western WA ,USA ,A16 ,
61,"SMOAK, Omari",PETERWE / FENCERS ,Metro NYC ,USA ,A17 ,
62,"WIEDER, Benjamin",NYAC / MEDEO F.C. ,New Jersey ,USA ,B17 ,
63,"DINKINS, Ramadan",WCFA ,Illinois ,USA ,A17 ,
64,"KUSHNERIK, Ethan",NYAC ,Metro NYC ,USA ,A17 ,
65,"HERBST, Isaac",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
66,"HANSEN, Jonas",OLYMPIA F. C. / CRLHS ,New England ,USA ,A17 ,
67,"THOMPSON, Soren",NYAC ,Metro NYC ,USA ,A14 ,
68,"BEAULIEU, Loic",,,CAN ,A17 ,
69,"CARPENTER, Liam",MARX FENCING ,New England ,USA ,A17 ,
70,"FRANK, Timmy",NWFC ,Oregon ,USA ,A17 ,
71,"COLE, Elias",NYAC ,West-Rock ,USA ,A16 ,
72,"JORAM, Jacob",DFC / JHOPKINSU. ,Colorado ,USA ,C16 ,
73,"ZUCKER, Noah",COBRA ,New Jersey ,USA ,A17 ,
74,"ELASHRY, Zeyad",FSA ,Maryland ,USA ,A17 ,
75T,"ANDERSON, Mathew",OLYMPIC FC ,Georgia ,USA ,A17 ,
75T,"SANDERS, Ian",NYU / FENCERS ,Connecticut ,USA ,A17 ,
77,"HSIEH JAROV, Seraphim",,,CAN ,A17 ,
78,"DAVIES, Morgan",HOF ,Northern OH ,USA ,B17 ,
79,"ISRAELIAN, Marat",FENCERS / COBRA ,New Jersey ,ISR ,A17 ,
80,"FULLERTON, Houston",GEORGIA FENCING ,Georgia ,USA ,A17 ,
81,"WEISS, Miles",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
82,"SNYDER, William",TWC / SP ,Maryland ,USA ,A17 ,
83,"NORTH, Gary",HCMA ,Southwest OH ,USA ,A17 ,
84,"VOLKMANN, Daniel",NWFC ,Oregon ,USA ,A17 ,
85,"WRIGHT, Ezra",DCFC ,Capitol ,USA ,A17 ,
86,"EWART, Stephen",SWORDS / NOTREDAME ,Southern CA ,USA ,A17 ,
87,"MACZIK, Adam",MARX FENCING ,New England ,USA ,A17 ,
88,"HOUSE, Alex",FENCERS ,New Jersey ,USA ,A17 ,
89,"ZACHARAKIS, Darius",ALLIANCE F.A. ,Gulf Coast ,USA ,A15 ,
90,"LEE, Andrew",METRO TACOMA ,New England ,USA ,A17 ,
91,"HERBST, Eliot",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
92,"TABLEMAN, Doug",FENCERS / COBRA ,New Jersey ,USA ,A17 ,
93,"EDWARDS, Ethan",OSU VARSITY FENCING TEAM / INDY FNCNG ,Indiana ,USA ,B17 ,
94,"ANA, Ionut",HOF ,Northern OH ,ROU ,A17 ,
95,"KIMATIAN, Harrison",HOF ,North TX ,USA ,A17 ,
96,"KUNG, Aidan",SWORDS ,Southern CA ,USA ,A17 ,
97,"FERRE, Loup-Yann",,,CAN ,B17 ,
98,"VAYSBERG, Nathan",NYFA ,Metro NYC ,USA ,A17 ,
99,"HAIDER, Syed Safi",IMASTERS ,Georgia ,USA ,A16 ,
100,"ZHANG, Joshua",NYAC ,Long Island ,USA ,A17 ,
101,"MORALES, Mariano",,Northeast ,MEX ,B17 ,
102,"SULLIVAN, Cameron",GOLD GATE / USAFA ,Northern CA ,USA ,A17 ,
103,"GRIFFITHS, Ryan",NYAC ,New Jersey ,USA ,A17 ,
104T,"CHMUT, Anton",NYFA ,Metro NYC ,USA ,A17 ,
104T,"SHIREY, Daniel",IMASTERS / PFA ,Georgia ,USA ,A17 ,
106,"ARLINGTON, Nicholas",HOF ,Northern OH ,USA ,A17 ,
107,"SUH, Jason",MEDEO F.C. / NYU ,New Jersey ,USA ,A17 ,
108,"GAO, Tiger",JHOPKINSU. / NORTHSFC ,Maryland ,USA ,A17 ,
109T,"WANG, Bowen",NCFDP / RTF ,N. Carolina ,CHN ,A17 ,
109T,"ZHAO, Howard",,,CHN ,A17 ,
111T,"BERGER, Matteo",DCFC ,Capitol ,USA ,C17 ,
111T,"MANDOKI, Sandor",HLBRSDT ,Northern CA ,USA ,A16 ,
113,"CHAO, Kevin",LAIFC ,Southern CA ,USA ,A16 ,
114,"NOSIL, Andrew",DCFC ,Capitol ,USA ,A17 ,
115,"PISKOVATSKOV, Jonathan",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
116,"CULLEN, Daniel",TWORAVENS ,Northern OH ,USA ,A17 ,
117,"HAIDER, Syed Mikail",IMASTERS ,Georgia ,USA ,A17 ,
118,"SHORT, Salim",FENCERS ,Metro NYC ,USA ,B17 ,
119,"LEE, Aaron",BB-FC / LAIFC ,Nevada ,USA ,A16 ,