1,"Tourette, Geoffrey",UNAT / SILICONVLYFC ,Central CA ,USA ,A18 ,
2,"Moelis, Samuel (Sam)",BBFC ,Long Island ,USA ,A18 ,
3T,"Machovec, Andrew",,Long Island ,USA ,A18 ,
3T,"Hamza, Mohamed",SALLEMAUROFA ,Gulf Coast ,EGY ,A17 ,A18 
5,"Katayama, Kevin",PREMIERFC ,New Jersey ,USA ,A18 ,
6,"Pivovarov, Aleksandr",SFFC ,Mt. Valley ,RUS ,A18 ,
7,"Rheingans-Yoo, Duncan",UNAT / MARXFENCING ,New England ,USA ,A17 ,A18 
8,"Chen, Earnest",FENCERSCLUB ,Connecticut ,USA ,A18 ,
9,"Olivares, Marcello",BLUEGRASSFC ,Gold Coast ,USA ,A18 ,
10,"Holmes, Stuart",MISSIONFC / SILVERCITYFC ,Long Island ,USA ,A18 ,
11,"Lutar, Lucas",FAW ,Huds-Berks ,USA ,A17 ,
12,"Itkin, Nick",LAIFC / NOTREDAME ,Southern CA ,USA ,A18 ,
13,"Yu, Eric",LAIFC ,Southern CA ,USA ,A17 ,
14,"Chung, Andrew",GOLUBITSKYFC ,Orange Coast ,USA ,A18 ,
15,"Zheng, Andrew",FENCERSCLUB ,Long Island ,USA ,A18 ,
16,"Mathieu, Adam",FENCERSCLUB ,Metro NYC ,USA ,A18 ,
17,"Bravo, Kenji",M TEAM ,Northern CA ,USA ,A18 ,
18,"Bontems, Pierre-Olivier",UNAT / LECLUBTOUCHE ,,CAN ,B17 ,
19,"Kaneshige, Brian",DURKANFA ,New Jersey ,USA ,A17 ,
20,"Chen, James",FENCERSCLUB ,Connecticut ,USA ,A17 ,
21,"Andrade, Nicholas",MOEFENCING ,New England ,USA ,A18 ,
22,"Wong, Robert",NOTREDAME / FAW ,West-Rock ,USA ,A16 ,
23,"Li, Brian",MARXFENCING ,New England ,USA ,A18 ,
24,"Binder, Zachary",FAW ,West-Rock ,USA ,A18 ,
25,"Orts, Lucas",M TEAM ,Northern CA ,USA ,A18 ,
26,"Tierney, David",NAPLESFA ,Central FL ,USA ,A18 ,
27,"Mitberg, Gregory",MARXFENCING / NWFENCINGCTR ,New England ,USA ,A17 ,
28,"Hadler, David",UCA-SANDIEGO ,Northern CA ,USA ,A18 ,
29,"Gassner, Ethan",SFFC ,Northern CA ,USA ,A18 ,
30,"Borowiak, Arwen",SFFC ,Northern CA ,GER ,A18 ,
31,"Palazzolo, William",5TFC ,Long Island ,USA ,A17 ,
32,"Woods, Jack",VFENCING ,New Jersey ,USA ,A17 ,
33,"Paik, Hyun",FENCERSCLUB ,New Jersey ,USA ,A17 ,
34,"Choo, Joseph",NWFENCINGCTR ,Nevada ,USA ,A17 ,
35,"Broszus, Blake",SILICONVLYFC ,Central CA ,CAN ,A17 ,
36,"Hassan, Mohamed",PASTATEUNIV / FENCERSACDMY ,St. Louis ,,A16 ,
37,"Shin, Philip",NYU ,Metro NYC ,USA ,A18 ,
38,"Ranadive, Rishi",M TEAM ,Northern CA ,USA ,A17 ,
39,"Levy, Cameron",BBFC ,Long Island ,USA ,A17 ,
40,"Manley, Thomas",FIT / NJIOT-NCAA ,North TX ,USA ,A17 ,
41,"Lu, Kerry",SFFC ,Northern CA ,USA ,A17 ,
42,"Tan, Lawrence",GOLUBITSKYFC / JACKSNVLEFC ,Gateway FL ,PHI ,A17 ,
43,"Taqi, Ahmad",,Northern OH ,KUW ,A17 ,
44,"Reid, Clayton",SFFC ,Northern CA ,USA ,B17 ,
45,"Candescu, Cristian",VFENCING ,New Jersey ,ROU ,A17 ,
46,"Ostatnigrosh, Andrey",PASTATEUNIV / FRESNOFA ,Mt. Valley ,USA ,A18 ,
47,"Kumbla, Sidarth",SILICONVLYFC ,Central CA ,USA ,A18 ,
48,"Murray, Thomas",BBFC / NOTREDAME ,Metro NYC ,USA ,B14 ,
49,"Louie, Bryce",LAIFC ,Southern CA ,USA ,A18 ,
50,"Weinstein, Connor",MARXFENCING / NWFENCINGCTR ,New England ,USA ,A14 ,
51,"Chu, Aidan",UCA-SANDIEGO ,Northern CA ,USA ,A15 ,
52,"Tirado, Sebastian",FENCERSCLUB ,New Jersey ,PUR ,A18 ,
53,"Cheng, Julian",M TEAM ,Central CA ,USA ,A17 ,
54,"Griffith, Jordan",USAFA ,Colorado ,USA ,A16 ,
55,"Cheng, Alex",HALBERSTADT ,Northern CA ,USA ,B18 ,
56,"Padua, Carlos",,,PUR ,A17 ,
57,"Liao, Jun Heng (James)",FENCERSCLUB ,New Jersey ,USA ,A17 ,
58,"Prilutsky, David",PREMIERFC / MANHATTANFC ,New Jersey ,USA ,B18 ,
59,"Shih, Benjamin",LECLUBTOUCHE ,Central CA ,TPE ,A18 ,
60,"Li, Michael",,Central CA ,USA ,A17 ,
61,"Dayton, Draper",M TEAM ,Northern CA ,USA ,B17 ,
62,"Ding, Allan",MARXFENCING ,New England ,USA ,A18 ,
63,"Marino, Joseph",BBFC / NOTREDAME ,Long Island ,USA ,A17 ,
64,"Hamilton, Bogdan",FENCERSACDMY ,St. Louis ,USA ,B18 ,
65,"Antipas, Michael",MISSIONFC ,Long Island ,USA ,A16 ,
66,"Field, Miles",BBFC ,Metro NYC ,USA ,A17 ,
67,"Yee, Maxwell",LAIFC ,Southern CA ,USA ,A18 ,
68,"DeBack, Maximus",GRAPIDSFA ,Michigan ,USA ,A18 ,
69,"Wriedt, Nathan",ATABAFC ,Wisconsin ,USA ,A18 ,
70,"Bourtis, James",ROCHESTERFC ,Western NY ,USA ,A18 ,
71,"Emmer, Chase",VFENCING ,New Jersey ,USA ,A18 ,
72,"Paik, Joon",FENCERSCLUB ,New Jersey ,USA ,A18 ,
73,"Johnson, Aidan",FENCERSCLUB ,Metro NYC ,USA ,A18 ,
74,"Bratton, Jack",FIT ,North TX ,USA ,A17 ,
75,"Kang, Andrew",TOPFC / NC-CHAPELHIL ,Metro NYC ,USA ,B17 ,
76,"Ouellette, David",5TFC ,Long Island ,USA ,B17 ,
77T,"Colon, Cesar",,,PUR ,A17 ,
77T,"Zakharikov, Anton",SFFC ,Northern CA ,RUS ,A17 ,
79,"Hadler, Benjamin",SFFC ,Northern CA ,USA ,A18 ,
80,"Lee, Benjamin",MTFC ,Western WA ,USA ,A18 ,
81,"Wang, Brian",MARXFENCING ,New England ,USA ,A17 ,
82,"Huang, Bin",MARXFENCING ,New England ,USA ,A18 ,
83,"Chang, Jason",LECLUBTOUCHE / UNIVPA ,Central CA ,USA ,A16 ,
84,"Parkins, Benjamin",AUSTINFC ,South TX ,USA ,A14 ,
85,"Levy, Jasper",BBFC ,Long Island ,USA ,A18 ,
86,"Hu, Oliver",MARXFENCING ,New England ,USA ,B17 ,
87,"Vogler, Justin",NWFENCINGCTR ,Oregon ,USA ,A18 ,
88,"Iverson, Shane",VFENCING / PASTATEUNIV ,New Jersey ,USA ,A16 ,
89,"Law, Robert",M TEAM ,National ,USA ,B17 ,
90,"Gruber, Samuel",MOEFENCING ,New England ,USA ,A18 ,
91,"Bae, Anthony",FENCERSCLUB ,New Jersey ,USA ,A17 ,
92,"Wu, Jerry",LECLUBTOUCHE ,Central CA ,USA ,A17 ,
93,"Condiff, Noah",ZFA ,Philadelphia ,USA ,A16 ,
94T,"Daniel, Ashton",SILICONVLYFC ,Central CA ,USA ,A17 ,
94T,"Gaziano, William",MEDEOFC / OSUNCAA ,New Jersey ,USA ,A16 ,
94T,"McKenna, Joseph",DURKANFA ,Philadelphia ,USA ,A17 ,
97,"McGillion-Moore, Jake",FCFA/FFA ,Connecticut ,IRL ,B18 ,
98,"Hodges, Carter",MANHATTANFC ,Metro NYC ,USA ,A18 ,