1,"Spear, Jeff",A18 / 7 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
2,"Williams, Grant",A17 / 9 ,DURKAN / NYU ,Georgia ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
3T,"Souders, Peter",A18 / 8 ,BOSTN FNCNG. CLB. / DCFC ,Capitol ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
3T,"Bak, Daniel",A14 ,NYAC ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
5,"Homer, Daryl",A18 / 2 ,PETERWE ,Metro NYC ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
6T,"Contreras, Alessandro",A18 / 59 ,CAPITAL ,Capitol ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
6T,"Costin, Michael",A16 / 23 ,AGFC ,Southern CA ,USA ,6 ,1.00 ,30 ,16 ,+14 ,Advanced
8T,"Loss, Geoffrey",A17 / 5 ,FENCERS / AGFC ,Metro NYC ,USA ,6 ,1.00 ,30 ,19 ,+11 ,Advanced
8T,"Prochniak, Evan",A17 / 12 ,NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,6 ,1.00 ,30 ,19 ,+11 ,Advanced
10,"Shainberg, Jonah",A17 / 14 ,NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,5 ,0.83 ,29 ,10 ,+19 ,Advanced
11,"Dolegiewicz, Filip",A17 / 28 ,MFA ,Illinois ,USA ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
12,"Walker, Christopher",A18 / 13 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
13,"Sieradzky, Dawson",A17 / 72 ,MANHATTAN / COLUMBF ,New Jersey ,USA ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
14,"Natanzon, Benjamin",A18 / 6 ,MANHATTAN ,Metro NYC ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
15,"Fields, Malcolm",A18 / 88 ,AFFA ,New Jersey ,USA ,5 ,0.83 ,26 ,14 ,+12 ,Advanced
16,"Heathcock, Antonio",A17 ,PFA / CARDINAL ,Central CA ,USA ,5 ,0.83 ,29 ,18 ,+11 ,Advanced
17,"Solomon, Daniel",A18 / 41 ,MISSION F.C. ,Long Island ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
18,"Del Vecchio, Nicolas",A18 / 105 ,CAPITAL ,Capitol ,USA ,5 ,0.83 ,28 ,22 ,+6 ,Advanced
19,"Karam, Tariq",A18 ,MANHATTAN / SAS ,Metro NYC ,USA ,5 ,0.83 ,25 ,21 ,+4 ,Advanced
20,"Zhao, Raymond",A18 / 19 ,NELLYA ,Georgia ,USA ,4 ,0.80 ,24 ,14 ,+10 ,Advanced
21,"Swartz, Roscoe",A18 / 70 ,BERGEN F.C. ,New Jersey ,USA ,4 ,0.80 ,24 ,15 ,+9 ,Advanced
22,"Igoe, Benjamin",A14 / 33 ,NYAC ,Metro NYC ,USA ,4 ,0.67 ,25 ,15 ,+10 ,Advanced
23,"Linder, James",A18 / 62 ,F.C. - AZ ,Arizona ,USA ,4 ,0.67 ,25 ,16 ,+9 ,Advanced
24,"Centanni, Salvatore",A17 / 27 ,,Metro NYC ,USA ,4 ,0.67 ,24 ,16 ,+8 ,Advanced
25,"Burgunder, Quinten",A17 / 44 ,DURKAN ,New Jersey ,USA ,4 ,0.67 ,27 ,20 ,+7 ,Advanced
26,"McBride, Jackson",B17 ,F.C. - AZ ,Arizona ,USA ,4 ,0.67 ,26 ,20 ,+6 ,Advanced
27,"Fotiyev, Alan",A17 / 71 ,STAMFORD F.C. / BERGEN F.C. ,Connecticut ,USA ,4 ,0.67 ,26 ,21 ,+5 ,Advanced
28,"Campbell, Colin",A15 / 78 ,NOTREDAME ,Capitol ,USA ,4 ,0.67 ,25 ,20 ,+5 ,Advanced
29,"Park, Justin",A17 ,BERGEN F.C. ,New Jersey ,USA ,4 ,0.67 ,24 ,19 ,+5 ,Advanced
30,"Kolasa, Thomas",A18 / 61 ,UNAT / FENCERS ,S. Jersey ,USA ,4 ,0.67 ,27 ,24 ,+3 ,Advanced
31,"Landau, Nathaniel",B18 / 85 ,CAPITAL ,Capitol ,USA ,4 ,0.67 ,23 ,23 ,0 ,Advanced
32,"Thompson, Khalil",A17 / 18 ,PETERWE / PSU ,Metro NYC ,USA ,3 ,0.60 ,23 ,18 ,+5 ,Advanced
33,"Merchant, Marcel",A17 / 65 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.60 ,20 ,19 ,+1 ,Advanced
34,"Mulvaney, Alec",A18 ,REDSTAR ,Illinois ,USA ,3 ,0.60 ,16 ,15 ,+1 ,Advanced
35,"Cho, Justin",A17 ,LONESTAR ,North TX ,USA ,3 ,0.60 ,22 ,22 ,0 ,Advanced
36,"Leung, Mark",B18 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,26 ,22 ,+4 ,Advanced
37,"Merchant, Julian",A17 / 14 ,PENN / MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,25 ,22 ,+3 ,Advanced
38,"Stone, Ben",A17 / 46 ,MANHATTAN / DUKEUNIVFC ,Metro NYC ,USA ,3 ,0.50 ,22 ,19 ,+3 ,Advanced
39,"Kim, Brian",A18 / 104 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
40T,"Guy, Philippe",A17 / 22 ,UNAT / SPARTAK ,San Diego ,USA ,3 ,0.50 ,26 ,25 ,+1 ,Advanced
40T,"Johnson, Andrew",A18 / 84 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,26 ,25 ,+1 ,Advanced
42,"No, Nicholas",A17 / 37 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
43,"Bivins, George",A18 / 81 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,24 ,23 ,+1 ,Advanced
44,"Attig, Will",A17 / 58 ,OREGONFA ,Oregon ,USA ,3 ,0.50 ,21 ,20 ,+1 ,Advanced
45,"Nikolai, William",B16 / 55 ,USAFC ,Utah-S.Idaho ,USA ,3 ,0.50 ,24 ,24 ,0 ,Advanced
46,"Lortkipanidze, Nickoloz",B18 / 112 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,3 ,0.50 ,20 ,20 ,0 ,Advanced
47,"Ma, Jonathan",B18 ,LONESTAR ,North TX ,USA ,3 ,0.50 ,19 ,19 ,0 ,Advanced
48,"Booth, Zaheer",B17 / 56 ,PETERWE / FENCERS ,Metro NYC ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
49,"Saron, Mitchell",A18 / 17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
50,"Scholl, Ben",A18 / 99 ,NOTREDAME / OREGONFA ,Oregon ,USA ,3 ,0.50 ,20 ,21 ,-1 ,Advanced
51,"Wisniowski, Michal",B16 / 107 ,AFFA ,New Jersey ,USA ,3 ,0.50 ,24 ,26 ,-2 ,Advanced
52,"Szeto, Brian",B18 ,ZETA FENCING ,New England ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
53T,"Mullennix, Ethan",A18 / 38 ,HLBRSDT ,Northern CA ,USA ,3 ,0.50 ,19 ,23 ,-4 ,Advanced
53T,"Lin, Lucas",B16 / 109 ,,North TX ,USA ,3 ,0.50 ,19 ,23 ,-4 ,Advanced
55,"Cohen, Samuel",B17 / 103 ,DCFC / PENNSFC ,Capitol ,USA ,3 ,0.50 ,18 ,23 ,-5 ,Advanced
56,"DeScherer, David",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,20 ,26 ,-6 ,Advanced
57T,"Rohrlack, Charles",A17 / 21 ,REDSTAR ,Illinois ,USA ,2 ,0.40 ,19 ,21 ,-2 ,Advanced
57T,"Walker, Alex",A17 / 64 ,NELLYA ,Georgia ,USA ,2 ,0.40 ,19 ,21 ,-2 ,Advanced
59,"Price, Jack",B17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.40 ,18 ,20 ,-2 ,Advanced
60,"Kim, Stephen",A18 / 93 ,MANHATTAN ,Metro NYC ,USA ,2 ,0.40 ,16 ,23 ,-7 ,Advanced
61,"Armijo, Gabriel",A17 / 20 ,MANHATTAN ,San Diego ,USA ,2 ,0.33 ,24 ,23 ,+1 ,Advanced
62,"Chan, Zachary",B17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,24 ,24 ,0 ,Advanced
63,"Levitt, Benjamin",A17 / 110 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,24 ,25 ,-1 ,Advanced
64,"Cohen, Josef",A18 / 52 ,RIFAC / COLUMBF ,New England ,USA ,2 ,0.33 ,21 ,22 ,-1 ,Advanced
65,"Schmitt, Trenton",A17 ,PFA ,Mt. Valley ,USA ,2 ,0.33 ,22 ,24 ,-2 ,Advanced
66,"Chou, Stephen",B18 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,21 ,24 ,-3 ,Advanced
67,"Kanary, Logan",A17 / 45 ,F.A. DENV. ,Colorado ,USA ,2 ,0.33 ,19 ,23 ,-4 ,Advanced
68T,"Park, Donghwan",B18 / 47 ,PFA ,Mt. Valley ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
68T,"Kim, Charlson",B18 ,CHS / ISLAND NY ,Long Island ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
70,"Vidovszky, Robert",A18 / 32 ,PFA ,Mt. Valley ,USA ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
71,"Smith, Jared",A18 / 106 ,AGFC ,Orange Coast ,USA ,2 ,0.33 ,22 ,28 ,-6 ,Advanced
72,"Spear, Will",A18 / 16 ,NYAC ,Huds-Berks ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
73,"Nadile, Henry",B17 / 57 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
74,"Kokosinski, Eryk",B17 ,MFA ,Illinois ,USA ,2 ,0.33 ,18 ,28 ,-10 ,Advanced
75,"Johnson, Zachary",A15 / 66 ,F.C. - AZ ,Arizona ,USA ,1 ,0.20 ,20 ,22 ,-2 ,Advanced
76,"Oster, Keegan",A17 ,HANGTOWN ,Mt. Valley ,USA ,1 ,0.20 ,12 ,23 ,-11 ,Advanced
77,"Yen, Joshua",C18 ,MISSION F.C. ,Long Island ,USA ,1 ,0.17 ,22 ,28 ,-6 ,Advanced