1,"Williams, Grant",DFA / NYU ,Georgia ,USA ,A17 ,
2,"Elsissy, Ziad",UNAT / WAYNSTU ,Michigan ,EGY ,A16 ,A17 
3T,"Fitzgerald, Jonathan",MANHATTAN / NOTREDAME ,New Jersey ,USA ,A17 ,
3T,"Loss, Geoffrey",FENCERS / AGFC ,Metro NYC ,USA ,A17 ,
5,"Guy, Philippe",UNAT / SPARTAK ,San Diego ,USA ,A15 ,A17 
6,"Armijo, Gabriel",MANHATTAN ,San Diego ,USA ,A16 ,A17 
7,"Rohrlack, Charles",REDSTAR ,Illinois ,USA ,A17 ,
8,"Williams, Marty",TIM MOREHOUSE FENCING / CANDLE ,Metro NYC ,USA ,A17 ,
9,"Costin, Michael",AGFC ,Southern CA ,USA ,A16 ,
10,"Spear, Will",NYAC ,Huds-Berks ,USA ,A15 ,
11,"Prochniak, Evan",NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,A17 ,
12,"Shainberg, Jonah",NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,A17 ,
13,"Natanzon, Benjamin",MANHATTAN ,Metro NYC ,USA ,A17 ,
14,"Lin, Xiteng (Steven)",OREGONFA ,Oregon ,CHN ,A17 ,
15,"Nadile, Henry",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B17 ,
16,"Attig, Will",OREGONFA ,Oregon ,USA ,A17 ,
17,"Zhang, Andrew",PFA ,Mt. Valley ,USA ,A17 ,
18,"Meng, Brend",PENINSULA ,Northern CA ,USA ,B17 ,
19,"Park, Donghwan",PFA ,Mt. Valley ,USA ,B17 ,
20,"Cottingham, Robert",PETERWE / NYU ,Metro NYC ,USA ,B15 ,
21,"Hu, William",PFA ,Mt. Valley ,USA ,B17 ,
22,"Stone, Ben",MANHATTAN / DUKEUNIVFC ,Metro NYC ,USA ,A17 ,
23,"Igoe, Benjamin",NYAC ,Metro NYC ,USA ,A14 ,
24,"Vidovszky, Robert",PFA ,Mt. Valley ,USA ,A17 ,
25,"Bivins, George",MANHATTAN ,Metro NYC ,USA ,B17 ,
26,"Shin, Richard J.H.",AGFC ,Southern CA ,USA ,A16 ,
27,"Thompson, Khalil",UNAT / PSU ,Metro NYC ,USA ,A17 ,
28,"Johnson, Zachary",F.C. - AZ ,Arizona ,USA ,A15 ,
29,"Mullennix, Ethan",HLBRSDT ,Northern CA ,USA ,A17 ,
30,"Western, Rafael",TIM MOREHOUSE FENCING ,Metro NYC ,PUR ,A16 ,
31,"Cameron, James",DCFC ,Capitol ,USA ,A15 ,
32,"Johnson, Andrew",F.C. - AZ ,Arizona ,USA ,A17 ,
33,"Fields, Malcolm",AFFA ,New Jersey ,USA ,A16 ,
34,"Levitt, Benjamin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
35,"Borojerdi, Ameen",F.C. - AZ ,Arizona ,USA ,A17 ,
36,"Del Vecchio, Nicolas",CAPITAL ,Capitol ,USA ,A17 ,
37,"Richardson, Andrew",,N. Carolina ,USA ,B17 ,
38,"Florencia, Hector",OSU VARSITY FENCING TEAM ,North TX ,MEX ,A14 ,
39,"Linder, James",F.C. - AZ ,Arizona ,USA ,A17 ,
40,"Berkay, Deniz",MANHATTAN ,Long Island ,USA ,B17 ,
41,"Dougall, Tyson",PDX ,Oregon ,USA ,B17 ,
42,"Staten-Lusty, Silas",SAS ,Western WA ,USA ,C17 ,
43,"Park, Justin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
44,"Bak, Daniel",NYAC ,Metro NYC ,USA ,A14 ,
45,"Ma, Jonathan",LONESTAR ,North TX ,USA ,B17 ,
46,"No, Nicholas",PFA ,Mt. Valley ,USA ,A17 ,
47T,"Rotenstein, Leon",BRANDEIS / ZETA FENCING ,New England ,USA ,B16 ,
47T,"Shepanek, Noah",PDX ,Oregon ,USA ,B17 ,
49,"Kolasa, Thomas",UNAT / FENCERS ,S. Jersey ,USA ,A17 ,
50,"Gets, Matthew",BERGEN F.C. ,Metro NYC ,USA ,A16 ,
51,"Liu, Jesse",NELLYA ,Georgia ,USA ,B17 ,
52,"Prevey-Sullivan, Owen",TIM MOREHOUSE FENCING ,Connecticut ,USA ,A16 ,
53,"Lu, Aaron",PENINSULA ,Northern CA ,USA ,B17 ,
54,"Smith, Jared",AGFC ,Orange Coast ,USA ,A17 ,
55,"McBride, Jackson",F.C. - AZ ,Arizona ,USA ,C17 ,
56,"Callahan, Kevin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
57,"Wang, Royce",,Central CA ,TPE ,A15 ,
58,"Wisniowski, Michal",AFFA ,New Jersey ,USA ,B16 ,
59,"Michell, Bailey",INTL. F.C. ,New England ,USA ,C17 ,
60,"Oster, Keegan",HANGTOWN ,Mt. Valley ,USA ,A17 ,
61,"Liu, Shu",WEST COAST FENCING ,San Bern'do ,CHN ,B17 ,
62T,"Lin, Lucas",,North TX ,USA ,B16 ,
62T,"Landau, Nathaniel",CAPITAL ,Capitol ,USA ,B17 ,
64,"Cho, Justin",LONESTAR ,North TX ,USA ,C17 ,
65,"Copeland, Oliver",AGFC ,Southern CA ,USA ,C17 ,
66,"Contreras, Alessandro",CAPITAL ,Capitol ,USA ,A17 ,
67,"Kim, Brian",BERGEN F.C. ,New Jersey ,USA ,B17 ,
68,"Parson-Scherban, Maxfield",OREGONFA ,Oregon ,USA ,C17 ,
69,"Rice, Vaughn",MEDEO F.C. ,New Jersey ,USA ,C17 ,
70,"Jones, Alexander",AGFC ,Southern CA ,USA ,B17 ,
71,"Shurygin, Ariel",PDX ,Oregon ,USA ,B17 ,
72T,"Hast, Kern",MANHATTAN ,Metro NYC ,USA ,B16 ,
72T,"Schmitt, Trenton",PFA ,Mt. Valley ,USA ,A17 ,
74,"Price, Jack",BERGEN F.C. ,New Jersey ,USA ,B17 ,
75,"Phillips, Kim",CFFA ,Metro NYC ,USA ,B17 ,
76,"DeScherer, David",BERGEN F.C. ,New Jersey ,USA ,B17 ,
77,"Blackmon, Luke",NELLYA ,Georgia ,USA ,B17 ,
78,"Ren, Junming",BERGEN F.C. ,New Jersey ,HKG ,C17 ,
79T,"Bouanani, Zachariah",F.C. - AZ ,Arizona ,USA ,C17 ,
79T,"Kokosinski, Eryk",MFA ,Illinois ,USA ,B17 ,
81,"Leung, Mark",NELLYA ,Georgia ,USA ,C17 ,
82,"Possick, Owen",AFFA ,New Jersey ,USA ,B17 ,
83,"Mehta, Sachin",DFC / F.A. DENV. ,Colorado ,USA ,B17 ,
84,"Murtaugh, Arthur",,North TX ,USA ,C17 ,
85,"Chou, Stephen",BERGEN F.C. ,New Jersey ,USA ,C17 ,