1,"HOMER, Daryl",PETERWE ,Metro NYC ,USA ,A17 ,A18 
2,"SPEAR, Jeff",NYAC ,Metro NYC ,USA ,A17 ,A18 
3T,"STREETS, Kaito",AFFA / MANHATTAN ,New Jersey ,JPN ,A17 ,A18 
3T,"SOUDERS, Peter",BOSTN FNCNG. CLB. / DCFC ,Capitol ,USA ,A17 ,A18 
5,"METRYKA, Karol",PSU / MANHATTAN ,New Jersey ,USA ,A17 ,A18 
6,"NATANZON, Benjamin",MANHATTAN ,Metro NYC ,USA ,A17 ,A18 
7,"SPEAR, Will",NYAC ,Huds-Berks ,USA ,A15 ,A18 
8,"MACKIEWICZ, Andrew",UNAT / ZETA FENCING ,Central PA ,USA ,A17 ,A18 
9,"WILLIAMS, Grant",DURKAN / NYU ,Georgia ,USA ,A17 ,
10,"LOSS, Geoffrey",FENCERS / AGFC ,Metro NYC ,USA ,A17 ,
11T,"SARON, Mitchell",BERGEN F.C. ,New Jersey ,USA ,A17 ,
11T,"THOMPSON, Khalil",PETERWE / PSU ,Metro NYC ,USA ,A17 ,
13,"LAMBERT, Pascal",,,CAN ,A16 ,
14,"SHAINBERG, Jonah",NOTREDAME / TIM MOREHOUSE FENCING ,West-Rock ,USA ,A17 ,
15,"IGOE, Benjamin",NYAC ,Metro NYC ,USA ,A14 ,
16,"VIDOVSZKY, Robert",PFA ,Mt. Valley ,USA ,A17 ,
17,"DOLEGIEWICZ, Filip",MFA ,Illinois ,USA ,A17 ,
18,"WALKER, Christopher",NELLYA ,Georgia ,USA ,A17 ,
19,"ARFA, Fares",,,CAN ,A17 ,
20,"MULLENNIX, Ethan",HLBRSDT ,Northern CA ,USA ,A17 ,
21,"SKEETE, Kamar",NELLYA ,Georgia ,USA ,A17 ,
22,"LINDER, James",F.C. - AZ ,Arizona ,USA ,A17 ,
23,"DODDO, Andrew",NYAC / COLUMBF ,Metro NYC ,USA ,A16 ,
24,"NO, Nicholas",PFA ,Mt. Valley ,USA ,A17 ,
25,"FITZGERALD, Jonathan",MANHATTAN / NOTREDAME ,New Jersey ,USA ,A17 ,
26,"JULIEN, William A",SON ,Gold Coast ,USA ,A17 ,
27,"OH, Jason",MANHATTAN ,Metro NYC ,USA ,A17 ,
28,"MERCHANT, Marcel",MANHATTAN ,Metro NYC ,USA ,A17 ,
29,"CAUCHON, Francois",,,CAN ,B17 ,
30,"BOOTH, Zaheer",UNAT / FENCERS ,Metro NYC ,USA ,B17 ,
31,"ZHAO, Raymond",NELLYA ,Georgia ,USA ,A17 ,
32,"FOTIYEV, Alan",STAMFORD F.C. / BERGEN F.C. ,Connecticut ,USA ,A17 ,
33,"ELSISSY, Ziad",UNAT / WAYNSTU ,Michigan ,EGY ,A17 ,
34,"RICHARDS II, Julian",BERGEN F.C. ,Huds-Berks ,USA ,B17 ,
35,"PROCHNIAK, Evan",NYAC / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,A17 ,
36,"LANDAU, Nathaniel",CAPITAL ,Capitol ,USA ,B17 ,
37,"SOLOMON, Daniel",MISSION F.C. ,Long Island ,USA ,A17 ,
38,"RICHARDSON, Andrew",,N. Carolina ,USA ,B17 ,
39,"CAI, Erwin",UNAT / NELLYA ,Georgia ,USA ,A17 ,
40,"ZHAO, Eric",,Capitol ,USA ,C17 ,
41,"KIM, Stephen",MANHATTAN ,Metro NYC ,USA ,B17 ,
42,"KANARY, Logan",F.A. DENV. ,Colorado ,USA ,A17 ,
43,"PREVEY-SULLIVAN, Owen",TIM MOREHOUSE FENCING ,Connecticut ,USA ,A16 ,
44,"CONTRERAS, Alessandro",CAPITAL ,Capitol ,USA ,A17 ,
45,"MERCHANT, Julian",PENN / MANHATTAN ,Metro NYC ,USA ,A17 ,
46T,"NIKOLAI, William",,Utah-S.Idaho ,USA ,B16 ,
46T,"COHEN, Josef",RIFAC / COLUMBF ,New England ,USA ,A17 ,
48,"FIELDS, Malcolm",AFFA ,New Jersey ,USA ,A16 ,
49T,"GEORGE, Evan",U.C.S.D. ,Central CA ,USA ,B17 ,
49T,"KOLASA, Thomas",UNAT / FENCERS ,S. Jersey ,USA ,A17 ,
51,"GÉLINAS, Marc",,,CAN ,B16 ,
52,"MILLS, Connor",PENN ,S. Jersey ,USA ,A16 ,
53T,"CENTANNI, Salvatore",,Metro NYC ,USA ,A17 ,
53T,"VAN HOFFELEN, Raphael",,Philadelphia ,GBR ,B14 ,
55,"BOUTET, Cedric",,,CAN ,A17 ,
56,"FERNANDES, Aksel",NELLYA ,Georgia ,USA ,A17 ,
57,"WILLIAMS, Marty",TIM MOREHOUSE FENCING / CANDLE ,Metro NYC ,USA ,A17 ,
58,"WESTERN, Rafael",TIM MOREHOUSE FENCING / PETERWE ,Metro NYC ,PUR ,A16 ,
59,"MOORE VOUNTAS, Steven",,,CAN ,C17 ,
60,"JOHNSON, Zachary",F.C. - AZ ,Arizona ,USA ,A15 ,
61,"COHEN, Samuel",DCFC ,Capitol ,USA ,B17 ,
62,"KIM, Brian",BERGEN F.C. ,New Jersey ,USA ,B17 ,
63,"DEL VECCHIO, Nicolas",CAPITAL ,Capitol ,USA ,A17 ,
64,"WISNIOWSKI, Michal",AFFA ,New Jersey ,USA ,B16 ,
65,"SMITH, Jared",AGFC ,Orange Coast ,USA ,A17 ,
66,"TORDO, Garrett",BRANDEIS / ZETA FENCING ,New England ,USA ,B17 ,
67,"LEVITT, Benjamin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
68,"GREEN, Adam",UNAT / CAPITAL ,Capitol ,USA ,A16 ,
69,"HAN, Nicholas",BERGEN F.C. / TIGERZ ,New Jersey ,USA ,B17 ,
70,"SIERADZKY, Dawson",MANHATTAN / COLUMBF ,New Jersey ,USA ,A17 ,
71,"MICHELL, Bailey",INTL. F.C. ,New England ,USA ,C17 ,
72,"CHIN, Edward",PRNCTONU. / MANHATTAN ,New Jersey ,USA ,A16 ,
73,"CHIARA, ANGELO",,,CAN ,B17 ,
74,"MOISE, Bryan",THRUST F.A. ,West-Rock ,USA ,C17 ,
75,"FARFAN-BAYERL, Inti",F.A. DENV. ,Colorado ,USA ,A17 ,
76,"ROTHENBERG, Matthew",BRANDEIS / DURKAN ,New Jersey ,USA ,C16 ,
77,"GRUBE, Sterling",THRUST F.A. ,West-Rock ,USA ,B16 ,
78,"SCHMITT, Trenton",PFA ,Mt. Valley ,USA ,A17 ,
79,"LIN, Xiteng (Steven)",OREGONFA ,Oregon ,CHN ,A17 ,
80,"LIN, Lucas",,North TX ,USA ,B16 ,
81,"BERKAY, Deniz",MANHATTAN ,Long Island ,USA ,B17 ,
82,"OSTER, Keegan",HANGTOWN ,Mt. Valley ,USA ,A17 ,
83,"CHEN, Andrew",NELLYA ,Georgia ,USA ,A17 ,
84,"DINU, Nicholas",LAGUNA F.C. ,Orange Coast ,CAN ,B17 ,
85,"MCPHEDRAN, Spencer",,,CAN ,B17 ,
86,"PARK, Donghwan",PFA ,Mt. Valley ,USA ,B17 ,
87,"DESCHERER, David",BERGEN F.C. ,New Jersey ,USA ,B17 ,
88T,"ANGLADE, Ronald",NELLYA ,Georgia ,USA ,C17 ,
88T,"BIVINS, George",MANHATTAN ,Metro NYC ,USA ,B17 ,
90,"PRIEST, Leighton",RENFENC ,Michigan ,USA ,C17 ,
91,"HARLEY, Sage",NELLYA ,Georgia ,USA ,C17 ,
92,"FLORENCIA, Hector",OSU VARSITY FENCING TEAM ,North TX ,MEX ,A14 ,
93T,"RICE, Vaughn",MEDEO F.C. ,New Jersey ,USA ,C17 ,
93T,"RAINVILLE-POND, Schuyler",,N. Carolina ,USA ,B17 ,
95,"FLORES, Gerardo",HLBRSDT ,Northern CA ,USA ,A17 ,
96,"KENNEDY, Falan",,,CAN ,B17 ,
97,"LIU, Jesse",NELLYA ,Georgia ,USA ,B17 ,
98,"BERGMAN, Thomas",NYU / DURKAN ,West-Rock ,USA ,C15 ,
99,"WITEK, Bernard",CHAPELHILL / DURKAN ,Metro NYC ,USA ,C17 ,
100,"GREENBAUM, Maxwell",NELLYA ,Georgia ,USA ,B17 ,
101T,"HU, William",PFA ,Mt. Valley ,USA ,B17 ,
101T,"MOON, Sean",ZETA FENCING ,New England ,USA ,B17 ,
103,"QUIST, Cole",COBRA ,New Jersey ,USA ,C16 ,
104,"OSOLINIEC, Victor",COBRA ,New Jersey ,USA ,B17 ,
105,"LORTKIPANIDZE, Nickoloz",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B17 ,
106,"LU, Berwyn",ARSENAL ,Georgia ,USA ,B17 ,
107,"ROTENSTEIN, Leon",BRANDEIS / ZETA FENCING ,New England ,USA ,B16 ,
108,"WALKER, Dalton",UNAT / COBRA ,New Jersey ,USA ,B17 ,
109,"BAK, Mikolaj",MANHATTAN / NYU ,New Jersey ,USA ,A17 ,
110,"JONES, Alexander",AGFC ,Southern CA ,USA ,B17 ,
111,"SUN, Andrew",PENN ,Georgia ,USA ,A17 ,
112,"HAST, Kern",MANHATTAN ,Metro NYC ,USA ,B16 ,
113,"SZETO, Brian",ZETA FENCING ,New England ,USA ,B16 ,
114,"GULATI, Thejas",U.C.S.D. / PFA ,San Diego ,USA ,A17 ,
115,"BIERNACKI, Maciej",DURKAN ,Metro NYC ,USA ,C17 ,
116,"PARK, Justin",BERGEN F.C. ,New Jersey ,USA ,A17 ,
117T,"YILLA, Ahmed",PETERWE / BALTI. F.C. ,Metro NYC ,USA ,C14 ,
117T,"CHO, Justin",LONESTAR ,North TX ,USA ,B17 ,
119,"JOHNSON, Andrew",F.C. - AZ ,Arizona ,USA ,A17 ,
120,"MORICZ, Hunter",,,CAN ,B17 ,
121,"COPELAND, Oliver",AGFC ,Southern CA ,USA ,C17 ,
122,"CHOU, Stephen",BERGEN F.C. ,New Jersey ,USA ,B17 ,
123,"BRAJDIC, Joseph",PETERWE / FENCERS ,Long Island ,CRO ,A15 ,
124,"REN, Junming",BERGEN F.C. ,New Jersey ,HKG ,C17 ,
125T,"MARSEE, James",PFA ,Mt. Valley ,USA ,C17 ,
125T,"SCHINDLER, Zachary",BOSTN FNCNG. CLB. / NYU ,New England ,USA ,C14 ,
127T,"SHIN, Richard J.H.",AGFC ,Southern CA ,USA ,A16 ,
127T,"LIU, Shu",WEST COAST FENCING ,San Bern'do ,CHN ,B17 ,
129T,"KARAM, Tariq",MANHATTAN / SAS ,Metro NYC ,USA ,A17 ,
129T,"YUNGEBERG, Tyler",F.A. DENV. ,Colorado ,USA ,B17 ,
131,"CAMPBELL, Colin",NOTREDAME ,Capitol ,USA ,A15 ,
132,"SHUSTER, Gabe",,,CAN ,C16 ,
133,"LORTKIPANIDZE, Guram",TIM MOREHOUSE FENCING ,West-Rock ,USA ,B16 ,
134,"MATT, Chris",VACADF ,Virginia ,USA ,B17 ,