1,"MACKIEWICZ, Andrew",A16 / 21 ,UNAT / ZETA FENCING ,Central PA ,USA ,6 ,1.00 ,30 ,5 ,+25 ,Advanced
2,"MERCHANT, Julian",A17 / 14 ,UNAT / MANHATTAN ,Philadelphia ,USA ,6 ,1.00 ,30 ,8 ,+22 ,Advanced
3T,"WALKER, Christopher",A17 / 18 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
3T,"DI TELLA, Pascual",A14 / 44 ,ZETA FENCING / DUKEUNIVFC ,New England ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
3T,"PROCHNIAK, Evan",A17 / 7 ,UNAT / CAMBRDGE FNCNG. CNTR ,Metro NYC ,USA ,6 ,1.00 ,30 ,9 ,+21 ,Advanced
6,"COSTIN, Michael",A16 / 23 ,AGFC ,Southern CA ,USA ,6 ,1.00 ,30 ,10 ,+20 ,Advanced
7,"SOUDERS, Peter",A17 / 9 ,BOSTON FC / DCFC ,Capitol ,USA ,6 ,1.00 ,30 ,11 ,+19 ,Advanced
8T,"NATANZON, Benjamin",A17 / 6 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
8T,"OH, Jason",A17 / 38 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,12 ,+18 ,Advanced
10T,"STREETS, Kaito",A16 / 8 ,AFFA / MANHATTAN ,New Jersey ,JPN ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
10T,"SKEETE, Kamar",A17 / 39 ,NELLYA ,Georgia ,USA ,6 ,1.00 ,30 ,13 ,+17 ,Advanced
12T,"CENTANNI, Salvatore",A17 / 19 ,MANHATTAN ,Metro NYC ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
12T,"SOLOMON, Daniel",A17 / 32 ,MISSION F.C. ,Long Island ,USA ,6 ,1.00 ,30 ,14 ,+16 ,Advanced
14T,"LANDAU, Nathaniel",B17 / 104 ,CAPITAL ,Capitol ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
14T,"LIANG, Calvin",A17 / 10 ,MANHATTAN ,Arizona ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
14T,"PARK, Donghwan",B17 ,PFA ,Mt. Valley ,USA ,6 ,1.00 ,30 ,15 ,+15 ,Advanced
17,"ROHRLACK, Charles",A17 / 37 ,REDSTAR ,Illinois ,USA ,6 ,1.00 ,30 ,18 ,+12 ,Advanced
18T,"DOLEGIEWICZ, Filip",A17 / 47 ,MFA ,Illinois ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
18T,"ZHAO, Raymond",A17 / 17 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,28 ,11 ,+17 ,Advanced
20,"DODDO, Andrew",A16 / 35 ,FENCERS ,Metro NYC ,USA ,5 ,0.83 ,27 ,11 ,+16 ,Advanced
21,"VIDOVSZKY, Robert",A17 / 52 ,PFA ,Mt. Valley ,USA ,5 ,0.83 ,29 ,14 ,+15 ,Advanced
22,"MULLENNIX, Ethan",A17 / 60 ,HLBRSDT ,Northern CA ,USA ,5 ,0.83 ,28 ,13 ,+15 ,Advanced
23,"LIN, Xiteng (Steven)",A17 / 41 ,,,CHN ,5 ,0.83 ,29 ,15 ,+14 ,Advanced
24,"NYDAM, Barron",A15 ,SPARTAK ,San Diego ,USA ,5 ,0.83 ,28 ,14 ,+14 ,Advanced
25,"THOMPSON, Khalil",A17 / 25 ,UNAT / PSU ,Metro NYC ,USA ,5 ,0.83 ,27 ,13 ,+14 ,Advanced
26,"BOOTH, Zaheer",B17 / 79 ,UNAT / FENCERS ,Metro NYC ,USA ,5 ,0.83 ,29 ,16 ,+13 ,Advanced
27,"SARON, Mitchell",A17 / 26 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,28 ,15 ,+13 ,Advanced
28,"BIVINS, George",B17 ,MANHATTAN ,Metro NYC ,USA ,5 ,0.83 ,27 ,14 ,+13 ,Advanced
29,"ACUÑA RAMIREZ, Adrian",A16 / 80 ,F.C. - AZ ,Arizona ,MEX ,5 ,0.83 ,26 ,13 ,+13 ,Advanced
30T,"SWARTZ, Roscoe",A17 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
30T,"LOSS, Geoffrey",A17 / 3 ,FENCERS / AGFC ,Metro NYC ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
30T,"GEORGE, Evan",B16 ,U.C.S.D. ,Central CA ,USA ,5 ,0.83 ,28 ,16 ,+12 ,Advanced
33,"WALKER, Alex",A17 / 48 ,NELLYA ,Georgia ,USA ,5 ,0.83 ,28 ,17 ,+11 ,Advanced
34T,"SIERADZKY, Dawson",A17 / 106 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
34T,"KANARY, Logan",A17 ,F.A. DENV. ,Colorado ,USA ,5 ,0.83 ,29 ,19 ,+10 ,Advanced
36,"BOROJERDI, Ameen",A17 / 57 ,F.C. - AZ ,Arizona ,USA ,5 ,0.83 ,27 ,17 ,+10 ,Advanced
37,"CALLAHAN, Kevin",A17 / 75 ,BERGEN F.C. ,New Jersey ,USA ,5 ,0.83 ,29 ,20 ,+9 ,Advanced
38,"COHEN, Josef",A17 / 50 ,RIFAC ,New England ,USA ,5 ,0.83 ,27 ,19 ,+8 ,Advanced
39,"CONTRERAS, Alessandro",A17 ,CAPITAL ,Capitol ,USA ,5 ,0.83 ,27 ,21 ,+6 ,Advanced
40,"SERRAHIMA, Pepe",B16 ,,Orange Coast ,ESP ,4 ,0.80 ,23 ,14 ,+9 ,Advanced
41,"FIELDS, Malcolm",A16 / 45 ,AFFA ,New Jersey ,USA ,4 ,0.80 ,22 ,17 ,+5 ,Advanced
42T,"PANTELEEV, Arsenii",A16 / 99 ,NOTREDAME ,Indiana ,RUS ,4 ,0.67 ,28 ,17 ,+11 ,Advanced
42T,"WILLIAMS, Grant",A17 / 13 ,,Georgia ,USA ,4 ,0.67 ,28 ,17 ,+11 ,Advanced
44,"CAI, Erwin",A17 / 58 ,UNAT / NELLYA ,Georgia ,USA ,4 ,0.67 ,27 ,17 ,+10 ,Advanced
45,"SUN, Andrew",A17 / 24 ,PENN / NELLYA ,Georgia ,USA ,4 ,0.67 ,28 ,19 ,+9 ,Advanced
46,"WESTERN, Rafael",A16 / 42 ,TIM MOREHOUSE FENCING ,Metro NYC ,PUR ,4 ,0.67 ,26 ,17 ,+9 ,Advanced
47,"NO, Nicholas",A17 / 43 ,PFA ,Mt. Valley ,USA ,4 ,0.67 ,24 ,16 ,+8 ,Advanced
48,"VILLASENOR, Aaron",C17 ,SDFC ,San Diego ,MEX ,4 ,0.67 ,26 ,19 ,+7 ,Advanced
49,"PREVEY-SULLIVAN, Owen",A16 / 78 ,TIM MOREHOUSE FENCING ,Connecticut ,USA ,4 ,0.67 ,24 ,17 ,+7 ,Advanced
50,"WISNIOWSKI, Michal",B16 / 107 ,AFFA ,New Jersey ,USA ,4 ,0.67 ,25 ,19 ,+6 ,Advanced
51,"WALTER, Agoston",A16 / 96 ,DUKEUNIVFC / ZETA FENCING ,Central FL ,USA ,4 ,0.67 ,24 ,18 ,+6 ,Advanced
52,"METRYKA, Karol",A17 / 11 ,PSU / MANHATTAN ,New Jersey ,USA ,4 ,0.67 ,23 ,18 ,+5 ,Advanced
53T,"JOHNSON, Zachary",A15 / 92 ,F.C. - AZ ,Arizona ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
53T,"GUY, Philippe",A15 / 51 ,UNAT / SPARTAK ,San Diego ,USA ,4 ,0.67 ,25 ,21 ,+4 ,Advanced
55T,"SCHOLL, Ben",A17 / 61 ,NOTREDAME / OREGONFA ,Oregon ,USA ,4 ,0.67 ,24 ,21 ,+3 ,Advanced
55T,"CHAYEVSKY, Kirk",C17 ,NELLYA ,Georgia ,USA ,4 ,0.67 ,24 ,21 ,+3 ,Advanced
57,"STONE, Ben",A16 / 31 ,MANHATTAN / DUKEUNIVFC ,Metro NYC ,USA ,4 ,0.67 ,23 ,20 ,+3 ,Advanced
58,"GULATI, Thejas",A16 / 66 ,U.C.S.D. / PFA ,San Diego ,USA ,4 ,0.67 ,22 ,19 ,+3 ,Advanced
59,"TURNER, Gavin",A15 ,,New England ,USA ,4 ,0.67 ,23 ,21 ,+2 ,Advanced
60,"SHEPANEK, Noah",B17 ,PDX ,Oregon ,USA ,4 ,0.67 ,26 ,25 ,+1 ,Advanced
61,"MCBRIDE, Jackson",C15 ,,Arizona ,USA ,4 ,0.67 ,24 ,23 ,+1 ,Advanced
62T,"JULIEN, William A",A17 ,SON ,Gold Coast ,USA ,4 ,0.67 ,23 ,22 ,+1 ,Advanced
62T,"CHEN, Howard",C17 ,AGFC / D'ASARO ,Northern CA ,USA ,4 ,0.67 ,23 ,22 ,+1 ,Advanced
62T,"MENG, Brend",B17 ,PENINSULA ,Northern CA ,USA ,4 ,0.67 ,23 ,22 ,+1 ,Advanced
65,"MA, Zhongqi",C17 ,,,CAN ,4 ,0.67 ,24 ,24 ,0 ,Advanced
66,"KARAM, Tariq",A17 ,MANHATTAN / SAS ,Western WA ,USA ,4 ,0.67 ,22 ,22 ,0 ,Advanced
67,"ARMIJO, Gabriel",A16 / 33 ,MANHATTAN ,San Diego ,USA ,3 ,0.60 ,19 ,18 ,+1 ,Advanced
68,"FERNANDES, Aksel",A17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,25 ,17 ,+8 ,Advanced
69,"SMITH, Jared",A17 ,AGFC ,Orange Coast ,USA ,3 ,0.50 ,26 ,20 ,+6 ,Advanced
70T,"MATHEWS, Stephen",B17 ,F.A. DENV. ,Colorado ,USA ,3 ,0.50 ,25 ,19 ,+6 ,Advanced
70T,"SCHINDLER, Zachary",C14 ,UNAT / NYU ,New England ,USA ,3 ,0.50 ,25 ,19 ,+6 ,Advanced
72,"HU, William",C17 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,24 ,18 ,+6 ,Advanced
73,"BURKE, William",B17 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,23 ,17 ,+6 ,Advanced
74,"DEL VECCHIO, Nicolas",A16 ,CAPITAL ,Capitol ,USA ,3 ,0.50 ,26 ,22 ,+4 ,Advanced
75,"HAST, Kern",B16 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,25 ,21 ,+4 ,Advanced
76,"KOLASA, Thomas",A17 / 55 ,FENCERS ,S. Jersey ,USA ,3 ,0.50 ,24 ,20 ,+4 ,Advanced
77,"POSSICK, Owen",C17 ,AFFA ,New Jersey ,USA ,3 ,0.50 ,23 ,19 ,+4 ,Advanced
78,"KIM, Stephen",B16 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,22 ,18 ,+4 ,Advanced
79T,"KULDELL, Spencer",B17 ,BOSTON FC ,New England ,USA ,3 ,0.50 ,24 ,21 ,+3 ,Advanced
79T,"CHEN, Andrew",A17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,24 ,21 ,+3 ,Advanced
81,"LIN, Lucas",B16 / 101 ,,North TX ,USA ,3 ,0.50 ,25 ,23 ,+2 ,Advanced
82,"SHIN, Richard J.H.",A16 / 107 ,AGFC ,Southern CA ,USA ,3 ,0.50 ,24 ,22 ,+2 ,Advanced
83,"LEVITT, Benjamin",B17 ,BERGEN F.C. ,New Jersey ,USA ,3 ,0.50 ,22 ,20 ,+2 ,Advanced
84,"RICHARDSON, Andrew",B17 ,,N. Carolina ,USA ,3 ,0.50 ,25 ,24 ,+1 ,Advanced
85T,"GREENBAUM, Maxwell",B17 ,NELLYA ,Georgia ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
85T,"FLORES, Gerardo",A15 / 56 ,HLBRSDT ,Northern CA ,USA ,3 ,0.50 ,23 ,22 ,+1 ,Advanced
87T,"CAMPBELL, Colin",A15 / 65 ,NOTREDAME ,Capitol ,USA ,3 ,0.50 ,23 ,23 ,0 ,Advanced
87T,"REA, Franklin",B17 ,MOE FC / BOSTON FC ,New England ,USA ,3 ,0.50 ,23 ,23 ,0 ,Advanced
89,"MERCHANT, Marcel",C16 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,22 ,22 ,0 ,Advanced
90,"KOKOSINSKI, Eryk",B17 ,MFA ,Illinois ,USA ,3 ,0.50 ,21 ,21 ,0 ,Advanced
91,"WILDE, Dexter",A16 ,REDSTAR ,Illinois ,USA ,3 ,0.50 ,20 ,20 ,0 ,Advanced
92,"CHO, Justin",C17 ,,North TX ,USA ,3 ,0.50 ,23 ,24 ,-1 ,Advanced
93T,"GRATHWOL-SEAR, Sebastian",C17 ,SAS ,Western WA ,USA ,3 ,0.50 ,22 ,23 ,-1 ,Advanced
93T,"LOBO-BERG, Gabriel",D16 ,MANHATTAN ,Metro NYC ,USA ,3 ,0.50 ,22 ,23 ,-1 ,Advanced
95T,"TE VELDE, Noah",C17 ,,New England ,USA ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
95T,"LIU, Shu",B17 ,ZFLA ,San Bern'do ,CHN ,3 ,0.50 ,21 ,22 ,-1 ,Advanced
97,"LINDER, James",A17 / 99 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,20 ,21 ,-1 ,Advanced
98T,"ZHANG, Andrew",A17 / 27 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
98T,"SZETO, Brian",B16 / 64 ,ZETA FENCING ,New England ,USA ,3 ,0.50 ,23 ,25 ,-2 ,Advanced
100T,"RITCHEY, Connor",A15 / 94 ,CHAPELHILL / F.A. DENV. ,Colorado ,USA ,3 ,0.50 ,22 ,24 ,-2 ,Advanced
100T,"LORTKIPANIDZE, Nickoloz",B17 ,TIM MOREHOUSE FENCING ,West-Rock ,USA ,3 ,0.50 ,22 ,24 ,-2 ,Advanced
102,"SCHMITT, Trenton",B16 ,PFA ,Mt. Valley ,USA ,3 ,0.50 ,21 ,23 ,-2 ,Advanced
103,"STOGIN, John",C17 ,,Illinois ,USA ,3 ,0.50 ,20 ,23 ,-3 ,Advanced
104,"JOHNSON, Andrew",B17 ,F.C. - AZ ,Arizona ,USA ,3 ,0.50 ,20 ,24 ,-4 ,Advanced
105,"WITEK, Bernard",C17 ,CHAPELHILL / DFA ,Metro NYC ,USA ,3 ,0.50 ,19 ,24 ,-5 ,Advanced
106,"SPEAR, Will",A15 / 15 ,,Huds-Berks ,USA ,3 ,0.50 ,20 ,27 ,-7 ,Advanced
107,"GETS, Matthew",A16 ,BERGEN F.C. ,Metro NYC ,USA ,2 ,0.40 ,22 ,22 ,0 ,Advanced
108,"BERKAY, Deniz",B17 / 87 ,MANHATTAN ,Long Island ,USA ,2 ,0.33 ,23 ,20 ,+3 ,Advanced
109,"MEHTA, Sachin",B17 ,DFC / F.A. DENV. ,Colorado ,USA ,2 ,0.33 ,22 ,22 ,0 ,Advanced
110,"PRICE, Jack",B17 ,,New Jersey ,USA ,2 ,0.33 ,21 ,23 ,-2 ,Advanced
111T,"DEMAREST, Iain",C17 ,OREGONFA ,Oregon ,USA ,2 ,0.33 ,22 ,26 ,-4 ,Advanced
111T,"SANTANA, Hudson",B17 ,AFFA ,Metro NYC ,USA ,2 ,0.33 ,22 ,26 ,-4 ,Advanced
113,"BOLTON, Dawson",B16 ,F.C. - AZ ,Arizona ,USA ,2 ,0.33 ,21 ,25 ,-4 ,Advanced
114T,"HARLEY, Sage",C16 ,NELLYA ,Georgia ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
114T,"RICHARDS II, Julian",B17 ,BERGEN F.C. ,Huds-Berks ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
114T,"MENDOZA, Marc",B16 ,SDFC ,San Diego ,BOL ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
114T,"CHAN, Zachary",C17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,21 ,26 ,-5 ,Advanced
118,"LAU, Cheung Kang",B17 ,AGFC ,Southern CA ,HKG ,2 ,0.33 ,19 ,24 ,-5 ,Advanced
119,"LU, Aaron",B17 / 97 ,PENINSULA ,Northern CA ,USA ,2 ,0.33 ,18 ,23 ,-5 ,Advanced
120,"KUPANOFF, Dimitri",B17 ,LAGUNA F.C. ,Orange Coast ,USA ,2 ,0.33 ,22 ,28 ,-6 ,Advanced
121,"LEONELLI, Alexandre",B17 ,U.C.S.D. ,San Diego ,USA ,2 ,0.33 ,21 ,27 ,-6 ,Advanced
122,"OSOLINIEC, Victor",B17 ,COBRA ,New Jersey ,USA ,2 ,0.33 ,20 ,26 ,-6 ,Advanced
123,"SHURYGIN, Ariel",B17 ,PDX ,Oregon ,USA ,2 ,0.33 ,19 ,25 ,-6 ,Advanced
124T,"NIKOLAI, William",B16 / 46 ,USAFC ,Utah-S.Idaho ,USA ,2 ,0.33 ,20 ,27 ,-7 ,Advanced
124T,"DROZ, Camden",B17 ,SON ,Gold Coast ,USA ,2 ,0.33 ,20 ,27 ,-7 ,Advanced
126,"THOMAS, Aleksander",C17 ,PDX ,Oregon ,USA ,2 ,0.33 ,19 ,26 ,-7 ,Advanced
127T,"DANNULL, Linus",C17 ,RTF ,N. Carolina ,USA ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
127T,"XU, Ryan",B17 ,,,CAN ,2 ,0.33 ,18 ,25 ,-7 ,Advanced
129,"DOUGALL, Tyson",B17 ,PDX ,Oregon ,USA ,2 ,0.33 ,15 ,22 ,-7 ,Advanced
130,"DINU, Nicholas",B17 ,LAGUNA F.C. ,Orange Coast ,CAN ,2 ,0.33 ,20 ,28 ,-8 ,Advanced
131T,"KIM, Shawn",A17 ,LAGUNA F.C. ,Orange Coast ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
131T,"BUENAVENTURA, Christian",C16 ,ZETA FENCING ,New England ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
131T,"RAINVILLE-POND, Schuyler",B16 ,,N. Carolina ,USA ,2 ,0.33 ,18 ,26 ,-8 ,Advanced
134,"DESCHERER, David",B17 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,17 ,26 ,-9 ,Advanced
135T,"KIM, Brian",B16 ,BERGEN F.C. ,New Jersey ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
135T,"JEFFRY, Robin",B16 ,HLBRSDT ,Northern CA ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
135T,"WU, Nicholas",C17 ,MANHATTAN ,Metro NYC ,USA ,2 ,0.33 ,16 ,25 ,-9 ,Advanced
138,"OSTER, Keegan",A17 ,,Mt. Valley ,USA ,2 ,0.33 ,17 ,27 ,-10 ,Advanced
139,"ATTIG, Will",B17 ,OREGONFA ,Oregon ,USA ,2 ,0.33 ,16 ,27 ,-11 ,Advanced
140,"LEE, Kevin",B16 ,U.C.S.D. ,North TX ,USA ,2 ,0.33 ,15 ,26 ,-11 ,Advanced
141,"IWAMOTO, Eric",C17 ,LAGUNA F.C. ,Orange Coast ,USA ,2 ,0.33 ,15 ,27 ,-12 ,Advanced
142,"SEVOSTYANOV, Stepan",B17 ,MANHATTAN ,Metro NYC ,KAZ ,2 ,0.33 ,15 ,28 ,-13 ,Advanced
143,"TONG, Qilin",C17 ,NELLYA ,Georgia ,USA ,1 ,0.20 ,17 ,24 ,-7 ,Advanced
144,"TATE, Samuel",C15 ,,N. Carolina ,USA ,1 ,0.20 ,16 ,24 ,-8 ,Advanced
145,"HAN, Nicholas",C17 ,BERGEN F.C. / TIGERZ ,New Jersey ,USA ,1 ,0.17 ,24 ,26 ,-2 ,Advanced
146,"CHOU, Stephen",C17 ,BERGEN F.C. ,New Jersey ,USA ,1 ,0.17 ,21 ,28 ,-7 ,Advanced