1,"HURLEY, Kelley",NYAC ,South TX ,USA ,A17 ,
2,"SIRICO, Amanda",DCFC ,Capitol ,USA ,A17 ,
3T,"HURLEY, Courtney",NYAC ,South TX ,USA ,A17 ,
3T,"ZUIKOVA, Veronika",STJOHNNCAA ,Long Island ,EST ,A14 ,A17 
5,"NIXON, Catherine (Kasia)",UNAT / LAIFC ,Southern CA ,USA ,A17 ,
6,"CANDREVA, Greta",NYAC / OLYMPIA F. C. ,West-Rock ,USA ,A17 ,
7,"VIE, Natalie",,Arizona ,USA ,A17 ,
8,"STEWART, Tatijana",SF ,Utah-S.Idaho ,USA ,A16 ,A17 
9,"WASHINGTON, Isis",UNAT / TOP F.C. ,Metro NYC ,USA ,A16 ,
10,"HOLMES, Katharine",NYAC ,Capitol ,USA ,A17 ,
11,"VERMEULE, Emily",OLYMPIA F. C. ,New England ,USA ,A17 ,
12,"HAMILTON, Pauline",NOWESTU ,Colorado ,USA ,A17 ,
13,"DUNLAP-SMITH, Azaline",,Minnesota ,USA ,A16 ,
14,"ENO, Megan",NWFC ,Oregon ,USA ,A17 ,
15,"CEBULA, Anne",FENCERS ,Metro NYC ,USA ,A17 ,
16,"TANIBAJEVA, Rachel",UNAT / FENCERS ,Metro NYC ,USA ,A17 ,
17,"MANGANO, Ariana",NYAC / ATLANTIC F.A. ,New Jersey ,USA ,A17 ,
18,"YUN, Audrey",COLUMBF / LAIFC ,Southern CA ,USA ,A14 ,
19,"KUKADIA, Sancchi",FENCERS / NORTHSFC ,Long Island ,USA ,A17 ,
20,"CONSTANTINO, Lola",MEDEO F.C. ,New Jersey ,USA ,A17 ,
21,"NIXON, Caroline (Karolina)",LAIFC ,Southern CA ,USA ,A17 ,
22,"GUZZI VINCENTI, Margherita",ATABA F.C. ,Wisconsin ,USA ,A17 ,
23,"SUMMERS, Georgina",,N. Carolina ,GBR ,C16 ,C17 
24,"HSIEH, Kaylin Sin Yan",,,HKG ,A17 ,
25,"MO, Victoria",,Orange Coast ,USA ,A15 ,
26,"PIRKOWSKI, Amanda",STOCCATAFAC ,Central FL ,USA ,A16 ,
27,"BEIHOLD, Emily",U.C.S.D. ,San Diego ,USA ,B16 ,
28,"YEFREMENKO, Dariya (Dasha)",MEDEO F.C. ,New Jersey ,USA ,A17 ,
29,"LANDWEHR, Helen",USAFA / FRFC ,Colorado ,USA ,A14 ,
30T,"CHOI, Lyla",FAW ,Metro NYC ,USA ,A17 ,
30T,"RAUSCH, Ariana",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
32,"ASSADOURIAN, Nouneh",SOUTHCFC ,Southern CA ,ARM ,B17 ,
33,"BARRY, Julia",NOTREDAME / NORCOLO ,Colorado ,CAN ,A15 ,
34,"KHROL, Jaclyn",NYFA ,Metro NYC ,USA ,A17 ,
35T,"KOPECKY, Lydia",NYAC ,Metro NYC ,USA ,A15 ,
35T,"YEU, Irene",SWORDS ,Southern CA ,USA ,A17 ,
37,"VIERHELLER, Giana",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
38,"FORNARIS, Susana",EPEE MIAMI ,Gold Coast ,USA ,B16 ,
39T,"ADAMS KIM, Madeline",FAP ,Philadelphia ,USA ,A16 ,
39T,"HENDERSON, Danielle",NYAC / NJIT ,New Jersey ,USA ,A15 ,
41,"BEDDINGFIELD, Claire",LAIFC ,Southern CA ,USA ,A17 ,
42T,"BATES, Cassandra",MARX FENCING ,New England ,USA ,A16 ,
42T,"CHIMAHUSKY, Rebecca",DCFC ,Capitol ,USA ,A17 ,
44,"GAO, Emily",NORTHSFC ,Long Island ,USA ,A17 ,
45,"SHAMSIAN, Shaya",LAIFC ,Southern CA ,USA ,C17 ,
46,"YUKELSON, Taly",U.C.S.D. ,Central CA ,USA ,A17 ,
47,"SIMMONS, Camille",TU OWLS / ALLIANCE F.A. ,Gulf Coast ,USA ,B14 ,
48T,"LIN, Jessica",MEDEO F.C. ,New Jersey ,USA ,A17 ,
48T,"BASSA, Francesca",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
50,"DANIEL, Chloe",,Southern CA ,USA ,A17 ,
51,"ANGEN, Katie",,Metro NYC ,USA ,A15 ,
52,"DOLGONOS, Melanie",NYFA ,Metro NYC ,USA ,B17 ,
53,"VANBENTHUYSEN, Barbara",PSU / ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
54,"MA, Joy",NORTHSFC ,Long Island ,USA ,A16 ,
55,"VAN RIPER, Katharine",NOWESTU / DUNWOODY ,Illinois ,USA ,B16 ,
56,"SCALA, Emma",GOLD GATE ,Northern CA ,USA ,A17 ,
57,"BEITTEL, Chloe",EBFG ,Northern CA ,USA ,A17 ,
58,"MICEK, Alexandria",,Gulf Coast ,USA ,B16 ,
59,"PLENTY, Kenyata (Kenya)",,Metro NYC ,USA ,A17 ,
60,"HUELLAS-BRUSKIEWICZ, Marie-Rose",,,CAN ,C16 ,
61T,"CASTRO, Rachel",NORCOLO ,Colorado ,USA ,B17 ,
61T,"BINDAS, Blodwen",DFA / ATLANTIC F.A. ,New Jersey ,USA ,B17 ,
63,"PECELI, Isabella",,Mt. Valley ,USA ,B16 ,
64,"GISOLFI-MCCREADY, Kaija",MARX FENCING ,New England ,USA ,A17 ,
65,"BEDDINGFIELD, Catherine",LAIFC ,Southern CA ,USA ,A16 ,
66T,"RYF, Ally",ALLIANCE F.A. ,Gulf Coast ,USA ,A17 ,
66T,"BUECHEL, Holly",NYAC ,Metro NYC ,USA ,A16 ,
68,"SNIDER, Margot",,Iowa ,USA ,A17 ,
69,"GRADY, Miriam",NORCOLO ,Colorado ,USA ,A17 ,
70,"DE GRASSE, Justine",,Colorado ,CAN ,B16 ,
71,"YAMANAKA, Mina",NYAC ,Long Island ,USA ,A16 ,
72,"PROCTOR, Sara",NORCOLO ,Colorado ,USA ,B16 ,
73,"HEDVAT, Alexis",FENCERS ,Metro NYC ,USA ,B17 ,
74,"LURYE, Sarah",WCFA ,Illinois ,USA ,A17 ,
75,"LEONARD, Ariane",,,CAN ,B17 ,
76,"SCHMIDT, Lori",OLYMPIA F. C. ,New England ,USA ,B17 ,
77,"MEDINA, Elizabeth",,San Diego ,MEX ,B16 ,
78,"HOFMANN, Alissa",UNAT / PSU ,Central PA ,USA ,B14 ,
79T,"TONCHEVA, Victoria",,Nevada ,USA ,B17 ,
79T,"PHILLIPS, Summer",WOODLANDS ,Gulf Coast ,USA ,A16 ,
81,"HARKNESS, Anya",NOWESTU / AFM ,Central CA ,USA ,A16 ,
82,"ZOZULYA, Christina",,,CAN ,C17 ,
83,"SHEFFIELD, Lake Mawu",UNAT / FENCERS ,Metro NYC ,USA ,A16 ,
84T,"NAVARRO, Ava",FENCERS / TIGERZ ,Metro NYC ,USA ,B15 ,
84T,"HUSISIAN, Hadley",FSA ,Virginia ,USA ,B17 ,
86,"GUO, ZI SHAN",,,CAN ,B17 ,
87,"ALDADAH, Huda",PEORIA ,Illinois ,USA ,A16 ,
88,"KOMAR, Sofia",MEDEO F.C. ,New Jersey ,USA ,A17 ,
89,"GILL, Kaitlyn",FAW ,New Jersey ,USA ,B17 ,
90,"LIANG, Rui ( Jessica )",ALLIANCE F.A. ,Gulf Coast ,USA ,B17 ,
91,"LIU, Linda",,,CAN ,C17 ,
92T,"MATTERN, Tasha",NWFC / LAIFC ,Oregon ,USA ,B17 ,
92T,"PAUL, Anna",IFC ,Illinois ,USA ,B16 ,
94,"O'REILLY, Meghan",OLYMPIA F. C. / TWORAVENS ,New England ,USA ,A16 ,
95T,"PROVENZA, Hannah",MARX FENCING / BAY STATE ,New England ,USA ,A15 ,
95T,"ZMURK, Emma",U.C.S.D. ,Northern CA ,USA ,A16 ,
97,"GUPTA, Ananya",WCFA ,Illinois ,USA ,B15 ,
98,"MARSH, Janet",NO FEAR ,San Diego ,USA ,B16 ,
99,"LOMBARD, Ella",NOWESTU ,Illinois ,USA ,B15 ,
100,"YOON, Julia",TIGERZ ,New Jersey ,USA ,C17 ,
101,"LEUNG, Karina Kay Sze",,New Jersey ,HKG ,B17 ,
102,"PAPADOPOULOS, Maria",UNAT / DUKEUNIVFC ,Virginia ,USA ,A17 ,
103T,"MOHABIR, Ariane",AFM ,Central CA ,USA ,C17 ,
103T,"BERDICHEVSKY, Adelle",NOWESTU ,West-Rock ,USA ,B16 ,
105,"BOUDREAU, Justine",,,CAN ,C17 ,
106,"HARRISON, Amelia",U.C.S.D. ,Northern CA ,CAN ,C16 ,
107,"FLOYD, Julee",SAS ,Western WA ,USA ,C17 ,
108,"TOBY, Natalia",,New Jersey ,USA ,A17 ,
109,"MARTUS, Cosima",NORCOLO ,Colorado ,USA ,A17 ,
110,"BELAOUSSOFF, Kira",,,CAN ,C17 ,
111,"AMADOR, Marta",NOWESTU ,Illinois ,ESP ,C16 ,
112,"PECELI, Juliana",,Mt. Valley ,USA ,B15 ,
113,"KORNGUTH, Lindsay",EBFG ,Northern CA ,USA ,B16 ,
114,"KRICK, Olivia",OLYMPIANFC ,South TX ,USA ,B17 ,
115,"KULKARNI, Diya",MEDEO F.C. ,New Jersey ,USA ,C17 ,
116,"LAMBERT, Jasmine",DFC ,Colorado ,USA ,B16 ,
117,"GIFFORD, Emily",ALLEZ FENCING ,Southern CA ,USA ,B14 ,
118,"YANG, Grace",LAIFC ,Southern CA ,USA ,B17 ,
119T,"PYO, Yunice",DCFC ,Capitol ,USA ,B16 ,
119T,"GAO, Aretha",LAIFC ,Southern CA ,USA ,B16 ,
121,"LANZMAN, Anna",NYFA ,Metro NYC ,USA ,B16 ,
122,"BUVARP, Elisabeth",FRFC ,Colorado ,USA ,B17 ,
123,"KAUR, Simarpreet",WEST BERKELEY FENCING ,Northern CA ,USA ,C16 ,
124,"LEE, Hanna",BB-FC / LAIFC ,Nevada ,USA ,A17 ,
125,"PRIMES, Amanda",LAIFC ,Southern CA ,USA ,C17 ,
126,"IGOE, Nirali",DCFC ,Capitol ,USA ,C17 ,